ablation,split,task,seed,episodes,action_critical_rmse,occluded_region_rmse,collision_boundary_f1,calibration_error,probe_informativeness,task_success,collision_rate,manipulation_failure_rate,probe_cost,probe_damage,planning_regret_to_oracle,probe_rate
proposed_action_critical_interactive_depth,combined_interactive_stress,leaf_occluded_fruit_grasp,2,72,0.056669,0.066133,0.627758,0.053274,0.032659,0.222222,0.222222,0.555556,0.073145,0.194444,0.487351,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,leaf_occluded_fruit_grasp,3,72,0.059303,0.067353,0.602592,0.048810,0.033517,0.166667,0.263889,0.569444,0.071805,0.236111,0.522397,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,leaf_occluded_fruit_grasp,4,72,0.057709,0.066679,0.621693,0.059623,0.032841,0.263889,0.166667,0.569444,0.072341,0.236111,0.501823,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,leaf_occluded_fruit_grasp,5,72,0.056049,0.066094,0.630971,0.054464,0.033253,0.263889,0.138889,0.597222,0.072073,0.250000,0.494663,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,leaf_occluded_fruit_grasp,6,72,0.056311,0.066323,0.598042,0.052579,0.032667,0.236111,0.166667,0.597222,0.068322,0.236111,0.502523,1.000000
minus_action_criticality,combined_interactive_stress,occluded_bin_grasping,0,72,0.058141,0.061337,0.679620,0.050893,0.033830,0.861111,0.027778,0.111111,0.059267,0.083333,0.385944,1.000000
minus_action_criticality,combined_interactive_stress,occluded_bin_grasping,1,72,0.055269,0.062308,0.681103,0.049901,0.034058,0.847222,0.027778,0.125000,0.062987,0.055556,0.365073,1.000000
minus_action_criticality,combined_interactive_stress,occluded_bin_grasping,2,72,0.056174,0.061921,0.657937,0.053869,0.033923,0.791667,0.069444,0.138889,0.061747,0.138889,0.398788,1.000000
minus_action_criticality,combined_interactive_stress,occluded_bin_grasping,3,72,0.053726,0.060730,0.649962,0.050694,0.033980,0.680556,0.069444,0.250000,0.066211,0.222222,0.419818,1.000000
minus_action_criticality,combined_interactive_stress,occluded_bin_grasping,4,72,0.054887,0.063288,0.666263,0.058829,0.033636,0.708333,0.097222,0.194444,0.063979,0.166667,0.404869,1.000000
minus_action_criticality,combined_interactive_stress,occluded_bin_grasping,5,72,0.056003,0.062287,0.676898,0.048710,0.033932,0.791667,0.097222,0.111111,0.063731,0.111111,0.385706,1.000000
minus_action_criticality,combined_interactive_stress,occluded_bin_grasping,6,72,0.058962,0.063660,0.672649,0.049008,0.033804,0.819444,0.041667,0.138889,0.064475,0.111111,0.403696,1.000000
minus_action_criticality,combined_interactive_stress,shelf_insertion_clearance,0,72,0.054177,0.058922,0.610888,0.055853,0.029739,0.652778,0.055556,0.291667,0.063904,0.125000,0.414585,1.000000
minus_action_criticality,combined_interactive_stress,shelf_insertion_clearance,1,72,0.052999,0.060600,0.627719,0.047222,0.029791,0.791667,0.069444,0.138889,0.067267,0.069444,0.373009,1.000000
minus_action_criticality,combined_interactive_stress,shelf_insertion_clearance,2,72,0.052451,0.058816,0.636826,0.061111,0.029720,0.708333,0.111111,0.180556,0.068043,0.152778,0.394404,1.000000
minus_action_criticality,combined_interactive_stress,shelf_insertion_clearance,3,72,0.052246,0.058245,0.655710,0.050893,0.029835,0.763889,0.013889,0.222222,0.062869,0.097222,0.374451,1.000000
minus_action_criticality,combined_interactive_stress,shelf_insertion_clearance,4,72,0.053350,0.059634,0.608379,0.055060,0.029867,0.638889,0.069444,0.291667,0.067526,0.125000,0.411798,1.000000
minus_action_criticality,combined_interactive_stress,shelf_insertion_clearance,5,72,0.055948,0.061803,0.609770,0.051786,0.030099,0.652778,0.111111,0.236111,0.065456,0.152778,0.428092,1.000000
minus_action_criticality,combined_interactive_stress,shelf_insertion_clearance,6,72,0.051785,0.058523,0.629829,0.048810,0.029696,0.736111,0.055556,0.208333,0.063645,0.138889,0.388362,1.000000
minus_action_criticality,combined_interactive_stress,transparent_container_lift,0,72,0.066534,0.074027,0.613756,0.054067,0.025988,0.319444,0.208333,0.472222,0.064071,0.180556,0.531793,1.000000
minus_action_criticality,combined_interactive_stress,transparent_container_lift,1,72,0.064008,0.071866,0.607469,0.054365,0.025872,0.291667,0.166667,0.541667,0.062092,0.152778,0.518602,1.000000
minus_action_criticality,combined_interactive_stress,transparent_container_lift,2,72,0.069290,0.073495,0.629124,0.050099,0.025816,0.236111,0.097222,0.666667,0.066545,0.152778,0.555819,1.000000
minus_action_criticality,combined_interactive_stress,transparent_container_lift,3,72,0.068268,0.074569,0.583307,0.044544,0.025798,0.152778,0.222222,0.625000,0.065556,0.222222,0.578839,1.000000
minus_action_criticality,combined_interactive_stress,transparent_container_lift,4,72,0.067296,0.074130,0.603209,0.048710,0.025837,0.194444,0.250000,0.555556,0.065803,0.111111,0.537610,1.000000
minus_action_criticality,combined_interactive_stress,transparent_container_lift,5,72,0.062850,0.072109,0.608947,0.058631,0.026023,0.208333,0.194444,0.597222,0.063824,0.194444,0.530070,1.000000
minus_action_criticality,combined_interactive_stress,transparent_container_lift,6,72,0.067226,0.071459,0.608719,0.054067,0.025835,0.319444,0.208333,0.472222,0.065061,0.069444,0.512877,1.000000
minus_action_criticality,combined_interactive_stress,leaf_occluded_fruit_grasp,0,72,0.061802,0.064803,0.602142,0.050595,0.036687,0.291667,0.222222,0.486111,0.067250,0.236111,0.522699,1.000000
minus_action_criticality,combined_interactive_stress,leaf_occluded_fruit_grasp,1,72,0.063186,0.067085,0.611878,0.048710,0.036551,0.208333,0.166667,0.625000,0.069662,0.319444,0.561180,1.000000
minus_action_criticality,combined_interactive_stress,leaf_occluded_fruit_grasp,2,72,0.060280,0.065489,0.607963,0.060813,0.036539,0.236111,0.125000,0.638889,0.069930,0.194444,0.516688,1.000000
minus_action_criticality,combined_interactive_stress,leaf_occluded_fruit_grasp,3,72,0.058652,0.064549,0.627089,0.061111,0.036520,0.194444,0.138889,0.666667,0.068322,0.208333,0.510103,1.000000
minus_action_criticality,combined_interactive_stress,leaf_occluded_fruit_grasp,4,72,0.062107,0.066332,0.627581,0.054365,0.036440,0.236111,0.250000,0.513889,0.071001,0.250000,0.527425,1.000000
minus_action_criticality,combined_interactive_stress,leaf_occluded_fruit_grasp,5,72,0.058126,0.065650,0.628173,0.059524,0.036729,0.208333,0.194444,0.597222,0.066715,0.194444,0.498404,1.000000
minus_action_criticality,combined_interactive_stress,leaf_occluded_fruit_grasp,6,72,0.058337,0.065183,0.621888,0.056944,0.036718,0.194444,0.208333,0.597222,0.068054,0.277778,0.520602,1.000000
minus_physical_probe,combined_interactive_stress,occluded_bin_grasping,0,72,0.064740,0.068922,0.647046,0.044643,0.000000,0.750000,0.083333,0.166667,0.000000,0.000000,0.417699,0.000000
minus_physical_probe,combined_interactive_stress,occluded_bin_grasping,1,72,0.063998,0.066326,0.667181,0.060615,0.000000,0.722222,0.083333,0.194444,0.000000,0.000000,0.412174,0.000000
minus_physical_probe,combined_interactive_stress,occluded_bin_grasping,2,72,0.066638,0.066813,0.679085,0.062599,0.000000,0.722222,0.111111,0.166667,0.000000,0.000000,0.422967,0.000000
minus_physical_probe,combined_interactive_stress,occluded_bin_grasping,3,72,0.064635,0.066012,0.644659,0.053274,0.000000,0.708333,0.111111,0.180556,0.000000,0.000000,0.421414,0.000000
minus_physical_probe,combined_interactive_stress,occluded_bin_grasping,4,72,0.062631,0.066461,0.658313,0.054365,0.000000,0.777778,0.125000,0.097222,0.000000,0.000000,0.396656,0.000000
minus_physical_probe,combined_interactive_stress,occluded_bin_grasping,5,72,0.064772,0.066258,0.665570,0.048611,0.000000,0.666667,0.055556,0.277778,0.000000,0.000000,0.425943,0.000000
minus_physical_probe,combined_interactive_stress,occluded_bin_grasping,6,72,0.064410,0.067023,0.655658,0.056845,0.000000,0.750000,0.097222,0.152778,0.000000,0.000000,0.412886,0.000000
minus_physical_probe,combined_interactive_stress,shelf_insertion_clearance,0,72,0.060618,0.064832,0.583059,0.054762,0.000000,0.541667,0.166667,0.291667,0.000000,0.000000,0.431234,0.000000
minus_physical_probe,combined_interactive_stress,shelf_insertion_clearance,1,72,0.060454,0.062794,0.597983,0.058333,0.000000,0.597222,0.194444,0.208333,0.000000,0.000000,0.417813,0.000000
minus_physical_probe,combined_interactive_stress,shelf_insertion_clearance,2,72,0.060450,0.063053,0.616878,0.051687,0.000000,0.625000,0.069444,0.305556,0.000000,0.000000,0.417142,0.000000
minus_physical_probe,combined_interactive_stress,shelf_insertion_clearance,3,72,0.058546,0.062733,0.560722,0.052183,0.000000,0.611111,0.097222,0.291667,0.000000,0.000000,0.419716,0.000000
minus_physical_probe,combined_interactive_stress,shelf_insertion_clearance,4,72,0.057077,0.064104,0.590506,0.052679,0.000000,0.625000,0.125000,0.250000,0.000000,0.000000,0.400574,0.000000
minus_physical_probe,combined_interactive_stress,shelf_insertion_clearance,5,72,0.060144,0.063928,0.605208,0.054960,0.000000,0.597222,0.138889,0.263889,0.000000,0.000000,0.417615,0.000000
minus_physical_probe,combined_interactive_stress,shelf_insertion_clearance,6,72,0.060463,0.065416,0.605034,0.053274,0.000000,0.680556,0.138889,0.180556,0.000000,0.000000,0.408673,0.000000
minus_physical_probe,combined_interactive_stress,transparent_container_lift,0,72,0.073779,0.075205,0.588223,0.052778,0.000000,0.152778,0.208333,0.638889,0.000000,0.000000,0.554383,0.000000
minus_physical_probe,combined_interactive_stress,transparent_container_lift,1,72,0.076124,0.076437,0.572057,0.051687,0.000000,0.152778,0.194444,0.652778,0.000000,0.000000,0.572696,0.000000
minus_physical_probe,combined_interactive_stress,transparent_container_lift,2,72,0.075554,0.075242,0.616896,0.054167,0.000000,0.125000,0.319444,0.555556,0.000000,0.000000,0.554743,0.000000
minus_physical_probe,combined_interactive_stress,transparent_container_lift,3,72,0.073147,0.075688,0.591366,0.054464,0.000000,0.166667,0.263889,0.569444,0.000000,0.000000,0.544827,0.000000
minus_physical_probe,combined_interactive_stress,transparent_container_lift,4,72,0.074868,0.074891,0.585042,0.057242,0.000000,0.097222,0.180556,0.722222,0.000000,0.000000,0.570352,0.000000
minus_physical_probe,combined_interactive_stress,transparent_container_lift,5,72,0.073922,0.075115,0.582132,0.053373,0.000000,0.125000,0.222222,0.652778,0.000000,0.000000,0.559452,0.000000
minus_physical_probe,combined_interactive_stress,transparent_container_lift,6,72,0.071435,0.074251,0.611501,0.051786,0.000000,0.194444,0.138889,0.666667,0.000000,0.000000,0.533954,0.000000
minus_physical_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,0,72,0.068291,0.070049,0.603801,0.055159,0.000000,0.138889,0.194444,0.666667,0.000000,0.000000,0.521455,0.000000
minus_physical_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,1,72,0.068260,0.070538,0.579125,0.053373,0.000000,0.125000,0.236111,0.638889,0.000000,0.000000,0.526501,0.000000
minus_physical_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,2,72,0.070147,0.071624,0.604144,0.049603,0.000000,0.069444,0.250000,0.680556,0.000000,0.000000,0.537828,0.000000
minus_physical_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,3,72,0.069017,0.072970,0.575689,0.049603,0.000000,0.097222,0.222222,0.680556,0.000000,0.000000,0.536161,0.000000
minus_physical_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,4,72,0.069694,0.070677,0.610657,0.050397,0.000000,0.111111,0.166667,0.722222,0.000000,0.000000,0.533223,0.000000
minus_physical_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,5,72,0.065919,0.071564,0.579826,0.049702,0.000000,0.111111,0.291667,0.597222,0.000000,0.000000,0.511227,0.000000
minus_physical_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,6,72,0.067941,0.070276,0.587132,0.053472,0.000000,0.111111,0.166667,0.722222,0.000000,0.000000,0.528700,0.000000
minus_uncertainty_calibration,combined_interactive_stress,occluded_bin_grasping,0,72,0.054504,0.063579,0.655314,0.074306,0.029478,0.763889,0.055556,0.180556,0.065467,0.083333,0.382397,1.000000
minus_uncertainty_calibration,combined_interactive_stress,occluded_bin_grasping,1,72,0.052073,0.063267,0.657519,0.077183,0.030280,0.777778,0.083333,0.138889,0.063731,0.125000,0.373255,1.000000
minus_uncertainty_calibration,combined_interactive_stress,occluded_bin_grasping,2,72,0.057226,0.066096,0.629649,0.101488,0.029699,0.694444,0.097222,0.208333,0.064971,0.069444,0.407760,1.000000
minus_uncertainty_calibration,combined_interactive_stress,occluded_bin_grasping,3,72,0.053778,0.064265,0.667928,0.080060,0.029754,0.694444,0.083333,0.222222,0.061251,0.166667,0.400351,1.000000
minus_uncertainty_calibration,combined_interactive_stress,occluded_bin_grasping,4,72,0.054246,0.063726,0.663114,0.077183,0.029657,0.722222,0.069444,0.208333,0.063731,0.166667,0.401737,1.000000
minus_uncertainty_calibration,combined_interactive_stress,occluded_bin_grasping,5,72,0.053462,0.064478,0.653584,0.081052,0.029380,0.833333,0.027778,0.138889,0.062243,0.055556,0.362908,1.000000
minus_uncertainty_calibration,combined_interactive_stress,occluded_bin_grasping,6,72,0.052924,0.063093,0.653699,0.067560,0.029267,0.777778,0.097222,0.125000,0.064971,0.111111,0.375368,1.000000
minus_uncertainty_calibration,combined_interactive_stress,shelf_insertion_clearance,0,72,0.047677,0.058897,0.643662,0.074802,0.026235,0.736111,0.027778,0.236111,0.066491,0.069444,0.347941,1.000000
minus_uncertainty_calibration,combined_interactive_stress,shelf_insertion_clearance,1,72,0.046877,0.060662,0.562753,0.071032,0.026154,0.666667,0.069444,0.263889,0.067267,0.152778,0.387678,1.000000
minus_uncertainty_calibration,combined_interactive_stress,shelf_insertion_clearance,2,72,0.050498,0.060613,0.570711,0.081250,0.025315,0.666667,0.069444,0.263889,0.067526,0.097222,0.394577,1.000000
minus_uncertainty_calibration,combined_interactive_stress,shelf_insertion_clearance,3,72,0.050180,0.061456,0.608379,0.079266,0.026129,0.694444,0.013889,0.291667,0.064163,0.125000,0.389122,1.000000
minus_uncertainty_calibration,combined_interactive_stress,shelf_insertion_clearance,4,72,0.050424,0.060269,0.598549,0.077282,0.025731,0.666667,0.069444,0.263889,0.065974,0.097222,0.387282,1.000000
minus_uncertainty_calibration,combined_interactive_stress,shelf_insertion_clearance,5,72,0.052391,0.062649,0.596300,0.097421,0.026032,0.625000,0.097222,0.277778,0.064939,0.138889,0.412018,1.000000
minus_uncertainty_calibration,combined_interactive_stress,shelf_insertion_clearance,6,72,0.050544,0.062398,0.591410,0.086310,0.025627,0.555556,0.083333,0.361111,0.064680,0.125000,0.409259,1.000000
minus_uncertainty_calibration,combined_interactive_stress,transparent_container_lift,0,72,0.062561,0.073170,0.552785,0.079861,0.024417,0.291667,0.138889,0.569444,0.067287,0.111111,0.516454,1.000000
minus_uncertainty_calibration,combined_interactive_stress,transparent_container_lift,1,72,0.064021,0.071791,0.583852,0.081647,0.024857,0.194444,0.166667,0.638889,0.065556,0.152778,0.537395,1.000000
minus_uncertainty_calibration,combined_interactive_stress,transparent_container_lift,2,72,0.063104,0.073819,0.607677,0.086210,0.024889,0.305556,0.194444,0.500000,0.065308,0.111111,0.501056,1.000000
minus_uncertainty_calibration,combined_interactive_stress,transparent_container_lift,3,72,0.065111,0.073059,0.578776,0.083730,0.024999,0.180556,0.180556,0.638889,0.062835,0.166667,0.548639,1.000000
minus_uncertainty_calibration,combined_interactive_stress,transparent_container_lift,4,72,0.063843,0.073667,0.572123,0.083234,0.024845,0.222222,0.138889,0.638889,0.063082,0.083333,0.521659,1.000000
minus_uncertainty_calibration,combined_interactive_stress,transparent_container_lift,5,72,0.064918,0.070236,0.597629,0.074107,0.025105,0.277778,0.263889,0.458333,0.065803,0.083333,0.507381,1.000000
minus_uncertainty_calibration,combined_interactive_stress,transparent_container_lift,6,72,0.064446,0.072866,0.603037,0.079067,0.025127,0.291667,0.180556,0.527778,0.064319,0.069444,0.503303,1.000000
minus_uncertainty_calibration,combined_interactive_stress,leaf_occluded_fruit_grasp,0,72,0.057581,0.067779,0.615828,0.090179,0.033658,0.347222,0.194444,0.458333,0.065643,0.083333,0.455575,1.000000
minus_uncertainty_calibration,combined_interactive_stress,leaf_occluded_fruit_grasp,1,72,0.058596,0.066130,0.572383,0.069841,0.033700,0.208333,0.250000,0.541667,0.068590,0.347222,0.544430,1.000000
minus_uncertainty_calibration,combined_interactive_stress,leaf_occluded_fruit_grasp,2,72,0.056295,0.067565,0.591690,0.075893,0.033403,0.277778,0.152778,0.569444,0.072341,0.250000,0.502906,1.000000
minus_uncertainty_calibration,combined_interactive_stress,leaf_occluded_fruit_grasp,3,72,0.054479,0.066462,0.582930,0.080853,0.032034,0.263889,0.222222,0.513889,0.070198,0.208333,0.481065,1.000000
minus_uncertainty_calibration,combined_interactive_stress,leaf_occluded_fruit_grasp,4,72,0.054519,0.067189,0.578900,0.078770,0.033126,0.305556,0.236111,0.458333,0.071001,0.263889,0.489962,1.000000
minus_uncertainty_calibration,combined_interactive_stress,leaf_occluded_fruit_grasp,5,72,0.057041,0.067666,0.576011,0.082540,0.032683,0.250000,0.180556,0.569444,0.071269,0.222222,0.506704,1.000000
minus_uncertainty_calibration,combined_interactive_stress,leaf_occluded_fruit_grasp,6,72,0.057566,0.067353,0.577313,0.083234,0.033130,0.180556,0.291667,0.527778,0.068858,0.194444,0.505396,1.000000
minus_probe_cost_model,combined_interactive_stress,occluded_bin_grasping,0,72,0.050759,0.065783,0.694510,0.049702,0.028968,0.694444,0.027778,0.277778,0.139737,0.180556,0.392265,1.000000
minus_probe_cost_model,combined_interactive_stress,occluded_bin_grasping,1,72,0.046533,0.062626,0.705195,0.052480,0.029763,0.847222,0.027778,0.125000,0.139737,0.138889,0.336166,1.000000
minus_probe_cost_model,combined_interactive_stress,occluded_bin_grasping,2,72,0.051944,0.063550,0.678338,0.044940,0.029580,0.736111,0.013889,0.250000,0.141762,0.166667,0.395623,1.000000
minus_probe_cost_model,combined_interactive_stress,occluded_bin_grasping,3,72,0.051065,0.062329,0.664412,0.054762,0.030080,0.680556,0.069444,0.250000,0.136091,0.194444,0.403191,1.000000
minus_probe_cost_model,combined_interactive_stress,occluded_bin_grasping,4,72,0.047174,0.061771,0.668388,0.048313,0.029411,0.708333,0.083333,0.208333,0.145407,0.194444,0.376340,1.000000
minus_probe_cost_model,combined_interactive_stress,occluded_bin_grasping,5,72,0.049771,0.061756,0.659445,0.051290,0.029112,0.708333,0.111111,0.180556,0.139332,0.236111,0.400317,1.000000
minus_probe_cost_model,combined_interactive_stress,occluded_bin_grasping,6,72,0.048447,0.062144,0.693632,0.055060,0.029845,0.722222,0.055556,0.222222,0.137712,0.222222,0.382711,1.000000
minus_probe_cost_model,combined_interactive_stress,shelf_insertion_clearance,0,72,0.047634,0.058481,0.644655,0.052778,0.025494,0.694444,0.041667,0.263889,0.145789,0.138889,0.376833,1.000000
minus_probe_cost_model,combined_interactive_stress,shelf_insertion_clearance,1,72,0.046073,0.057504,0.628786,0.051984,0.025615,0.652778,0.083333,0.263889,0.143253,0.208333,0.389480,1.000000
minus_probe_cost_model,combined_interactive_stress,shelf_insertion_clearance,2,72,0.049860,0.061114,0.611721,0.047917,0.025399,0.625000,0.111111,0.263889,0.150014,0.194444,0.415237,1.000000
minus_probe_cost_model,combined_interactive_stress,shelf_insertion_clearance,3,72,0.048162,0.059922,0.622404,0.052877,0.025644,0.736111,0.111111,0.152778,0.144944,0.138889,0.375553,1.000000
minus_probe_cost_model,combined_interactive_stress,shelf_insertion_clearance,4,72,0.045811,0.059503,0.596163,0.053968,0.025163,0.680556,0.041667,0.277778,0.145789,0.180556,0.388869,1.000000
minus_probe_cost_model,combined_interactive_stress,shelf_insertion_clearance,5,72,0.044176,0.060231,0.641982,0.052381,0.025733,0.736111,0.055556,0.208333,0.146211,0.152778,0.354276,1.000000
minus_probe_cost_model,combined_interactive_stress,shelf_insertion_clearance,6,72,0.046312,0.058490,0.649295,0.056448,0.025383,0.763889,0.027778,0.208333,0.143253,0.111111,0.353443,1.000000
minus_probe_cost_model,combined_interactive_stress,transparent_container_lift,0,72,0.063336,0.070491,0.610743,0.057440,0.024066,0.194444,0.236111,0.569444,0.140207,0.263889,0.556207,1.000000
minus_probe_cost_model,combined_interactive_stress,transparent_container_lift,1,72,0.058529,0.071780,0.625549,0.056944,0.024512,0.250000,0.166667,0.583333,0.141419,0.152778,0.497418,1.000000
minus_probe_cost_model,combined_interactive_stress,transparent_container_lift,2,72,0.062584,0.069447,0.626196,0.058234,0.024937,0.236111,0.152778,0.611111,0.143843,0.208333,0.535933,1.000000
minus_probe_cost_model,combined_interactive_stress,transparent_container_lift,3,72,0.059969,0.071515,0.598612,0.049306,0.024881,0.166667,0.222222,0.611111,0.132934,0.250000,0.540106,1.000000
minus_probe_cost_model,combined_interactive_stress,transparent_container_lift,4,72,0.062227,0.072267,0.608501,0.050992,0.024186,0.166667,0.180556,0.652778,0.143439,0.236111,0.551535,1.000000
minus_probe_cost_model,combined_interactive_stress,transparent_container_lift,5,72,0.061674,0.072740,0.591759,0.052480,0.024500,0.222222,0.180556,0.597222,0.145459,0.277778,0.554531,1.000000
minus_probe_cost_model,combined_interactive_stress,transparent_container_lift,6,72,0.060308,0.072735,0.600565,0.052480,0.024471,0.194444,0.138889,0.666667,0.141015,0.319444,0.559240,1.000000
minus_probe_cost_model,combined_interactive_stress,leaf_occluded_fruit_grasp,0,72,0.050538,0.067176,0.576485,0.051885,0.032932,0.069444,0.291667,0.638889,0.157980,0.416667,0.538861,1.000000
minus_probe_cost_model,combined_interactive_stress,leaf_occluded_fruit_grasp,1,72,0.053440,0.064896,0.616228,0.053373,0.032399,0.166667,0.208333,0.625000,0.160169,0.402778,0.535720,1.000000
minus_probe_cost_model,combined_interactive_stress,leaf_occluded_fruit_grasp,2,72,0.051558,0.064606,0.629414,0.056151,0.032385,0.180556,0.250000,0.569444,0.160606,0.430556,0.523501,1.000000
minus_probe_cost_model,combined_interactive_stress,leaf_occluded_fruit_grasp,3,72,0.051244,0.066707,0.610085,0.050595,0.032430,0.138889,0.236111,0.625000,0.155792,0.541667,0.556432,1.000000
minus_probe_cost_model,combined_interactive_stress,leaf_occluded_fruit_grasp,4,72,0.054252,0.065889,0.604313,0.047817,0.032798,0.222222,0.208333,0.569444,0.151854,0.375000,0.528961,1.000000
minus_probe_cost_model,combined_interactive_stress,leaf_occluded_fruit_grasp,5,72,0.050549,0.066192,0.616650,0.055060,0.032403,0.180556,0.180556,0.638889,0.155355,0.388889,0.515082,1.000000
minus_probe_cost_model,combined_interactive_stress,leaf_occluded_fruit_grasp,6,72,0.051857,0.064253,0.615722,0.055655,0.032632,0.097222,0.208333,0.694444,0.157543,0.527778,0.562875,1.000000
uncertainty_only_probe,combined_interactive_stress,occluded_bin_grasping,0,72,0.055999,0.061488,0.675906,0.050000,0.033599,0.805556,0.111111,0.083333,0.118568,0.111111,0.389862,1.000000
