ablation,split,task,seed,episodes,action_critical_rmse,occluded_region_rmse,collision_boundary_f1,calibration_error,probe_informativeness,task_success,collision_rate,manipulation_failure_rate,probe_cost,probe_damage,planning_regret_to_oracle,probe_rate
proposed_action_critical_interactive_depth,combined_interactive_stress,occluded_bin_grasping,0,72,0.051564,0.063031,0.683574,0.056845,0.029744,0.652778,0.097222,0.250000,0.060011,0.263889,0.409575,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,occluded_bin_grasping,1,72,0.052688,0.064798,0.688356,0.051786,0.029320,0.847222,0.027778,0.125000,0.063235,0.111111,0.360611,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,occluded_bin_grasping,2,72,0.052768,0.065414,0.655669,0.051587,0.029713,0.763889,0.069444,0.166667,0.066707,0.138889,0.383783,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,occluded_bin_grasping,3,72,0.051972,0.064590,0.666563,0.054464,0.029018,0.777778,0.069444,0.152778,0.067699,0.152778,0.377919,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,occluded_bin_grasping,4,72,0.049958,0.063063,0.682932,0.053968,0.029756,0.819444,0.027778,0.152778,0.064227,0.125000,0.352864,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,occluded_bin_grasping,5,72,0.052928,0.063050,0.667098,0.048413,0.029785,0.833333,0.041667,0.125000,0.063235,0.125000,0.371136,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,occluded_bin_grasping,6,72,0.054808,0.063948,0.695519,0.049504,0.029867,0.819444,0.041667,0.138889,0.062491,0.069444,0.364712,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,shelf_insertion_clearance,0,72,0.048957,0.060191,0.634195,0.057044,0.026311,0.791667,0.027778,0.180556,0.066232,0.083333,0.353441,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,shelf_insertion_clearance,1,72,0.050414,0.061364,0.604635,0.052679,0.026188,0.708333,0.125000,0.166667,0.063645,0.083333,0.373676,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,shelf_insertion_clearance,2,72,0.052059,0.061559,0.582131,0.049901,0.026190,0.777778,0.041667,0.180556,0.065456,0.069444,0.381574,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,shelf_insertion_clearance,3,72,0.049777,0.059897,0.657849,0.052579,0.025468,0.736111,0.041667,0.222222,0.069078,0.152778,0.374531,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,shelf_insertion_clearance,4,72,0.049668,0.060610,0.605243,0.051389,0.025990,0.763889,0.041667,0.194444,0.063645,0.055556,0.360869,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,shelf_insertion_clearance,5,72,0.049799,0.061336,0.622626,0.055060,0.026198,0.805556,0.041667,0.152778,0.068820,0.097222,0.361829,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,shelf_insertion_clearance,6,72,0.047584,0.059430,0.627803,0.055258,0.025222,0.694444,0.041667,0.263889,0.064939,0.138889,0.370883,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,transparent_container_lift,0,72,0.062057,0.072117,0.611485,0.053869,0.025122,0.305556,0.222222,0.472222,0.064319,0.138889,0.498390,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,transparent_container_lift,1,72,0.061939,0.074018,0.568305,0.050298,0.024632,0.236111,0.277778,0.486111,0.061845,0.111111,0.507356,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,transparent_container_lift,2,72,0.061379,0.072788,0.627104,0.055357,0.025036,0.333333,0.222222,0.444444,0.065308,0.166667,0.493331,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,transparent_container_lift,3,72,0.065928,0.073097,0.622156,0.044940,0.024976,0.333333,0.152778,0.513889,0.064814,0.125000,0.515843,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,transparent_container_lift,4,72,0.064295,0.073335,0.585862,0.053472,0.024491,0.263889,0.152778,0.583333,0.062340,0.083333,0.514649,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,transparent_container_lift,5,72,0.064798,0.072397,0.614398,0.053571,0.024998,0.263889,0.138889,0.597222,0.065061,0.111111,0.517987,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,transparent_container_lift,6,72,0.062669,0.071284,0.582376,0.055357,0.025130,0.319444,0.138889,0.541667,0.063329,0.097222,0.502836,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,leaf_occluded_fruit_grasp,0,72,0.056365,0.066491,0.614603,0.053075,0.033564,0.277778,0.166667,0.555556,0.069394,0.194444,0.484406,1.000000
proposed_action_critical_interactive_depth,combined_interactive_stress,leaf_occluded_fruit_grasp,1,72,0.054596,0.066822,0.595102,0.056052,0.033682,0.250000,0.208333,0.541667,0.067250,0.250000,0.491900,1.000000
