stress_level,method,metric,mean,ci95,n
0.0,action_critical_interactive_depth_v4,action_critical_rmse,0.05276659657896669,0.0004737131307127654,10
0.0,action_critical_interactive_depth_v4,calibration_error,0.13233306619761157,0.00043422394103939064,10
0.0,action_critical_interactive_depth_v4,collision_boundary_f1,0.7839524189592678,0.001023310326415624,10
0.0,action_critical_interactive_depth_v4,collision_rate,0.21208333333333332,0.007248475786989145,10
0.0,action_critical_interactive_depth_v4,manipulation_failure_rate,0.009583333333333333,0.002239293226975556,10
0.0,action_critical_interactive_depth_v4,mechanism_utility,0.6274353863473834,0.003408948107119512,10
0.0,action_critical_interactive_depth_v4,occluded_region_rmse,0.06466936828563508,0.0006314688365640773,10
0.0,action_critical_interactive_depth_v4,planning_regret,0.45965581705644815,0.00645601501975017,10
0.0,action_critical_interactive_depth_v4,probe_cost,0.038005254190112574,0.0013242879795791233,10
0.0,action_critical_interactive_depth_v4,probe_damage,0.06847222222222223,0.005768285471780207,10
0.0,action_critical_interactive_depth_v4,probe_informativeness,0.19939192933036803,0.00698512089312183,10
0.0,action_critical_interactive_depth_v4,robust_utility,-0.03758554761168505,0.022149591997957276,10
0.0,action_critical_interactive_depth_v4,task_success,0.5733333333333334,0.009695256430673486,10
0.0,action_critical_interactive_depth_v4,useful_probe_precision,0.22934246920456722,0.0079283119790968,10
0.0,active_view_selection,action_critical_rmse,0.033055151804810584,0.00010632941746467622,10
0.0,active_view_selection,calibration_error,0.12779962529329472,0.0002588774776888357,10
0.0,active_view_selection,collision_boundary_f1,0.8327456605149329,0.0005119569622698241,10
0.0,active_view_selection,collision_rate,0.1625,0.008899996917432922,10
0.0,active_view_selection,manipulation_failure_rate,0.0001388888888888889,0.0002722222222222222,10
0.0,active_view_selection,mechanism_utility,0.5959729905634953,0.00037363970869581746,10
0.0,active_view_selection,occluded_region_rmse,0.038316949391693146,0.0001836765217056959,10
0.0,active_view_selection,planning_regret,0.3002857964693727,0.005270233333820267,10
0.0,active_view_selection,probe_cost,0.014155237904795701,0.0002291561565528456,10
0.0,active_view_selection,probe_damage,0.0013888888888888887,0.000994015011768635,10
0.0,active_view_selection,probe_informativeness,0.03453071536924994,0.0005820328144342723,10
0.0,active_view_selection,robust_utility,0.4168910380073888,0.01982563936032165,10
0.0,active_view_selection,task_success,0.7966666666666666,0.0071241595177269305,10
0.0,active_view_selection,useful_probe_precision,0.02359365907142905,0.0007474836121405059,10
0.0,diffusion_depth_policy,action_critical_rmse,0.0649535072286689,0.00016954964966921986,10
0.0,diffusion_depth_policy,calibration_error,0.1861665891083905,0.0002041078401305462,10
0.0,diffusion_depth_policy,collision_boundary_f1,0.7417867497019697,0.00041271850107906546,10
0.0,diffusion_depth_policy,collision_rate,0.24319444444444444,0.01102752028806584,10
0.0,diffusion_depth_policy,manipulation_failure_rate,0.014861111111111111,0.0033475832242190334,10
0.0,diffusion_depth_policy,mechanism_utility,0.5466140911570803,0.0002884916571141803,10
0.0,diffusion_depth_policy,occluded_region_rmse,0.07829396462460705,0.00014522809943218675,10
0.0,diffusion_depth_policy,planning_regret,0.48241577082630815,0.0058450285954559774,10
0.0,diffusion_depth_policy,probe_cost,0.00989734251432949,0.0002950048215495546,10
0.0,diffusion_depth_policy,probe_damage,0.0009722222222222222,0.0007087078409619001,10
0.0,diffusion_depth_policy,probe_informativeness,0.011199325522384,0.0002743186070790895,10
0.0,diffusion_depth_policy,robust_utility,-0.050837934734422885,0.021235584206898587,10
0.0,diffusion_depth_policy,task_success,0.5397222222222221,0.01065344216222992,10
0.0,diffusion_depth_policy,useful_probe_precision,0.010083475026645347,0.0002822665202419772,10
0.0,ensemble_depth_completion,action_critical_rmse,0.07076185485894779,0.00011915976147557028,10
0.0,ensemble_depth_completion,calibration_error,0.14619080446124608,0.00031016656218028205,10
0.0,ensemble_depth_completion,collision_boundary_f1,0.7375416626449733,0.0004527718140523955,10
0.0,ensemble_depth_completion,collision_rate,0.24083333333333332,0.009475349579675909,10
0.0,ensemble_depth_completion,manipulation_failure_rate,0.03250000000000001,0.0030421839855472974,10
0.0,ensemble_depth_completion,mechanism_utility,0.5477138536124992,0.0003022853551648705,10
0.0,ensemble_depth_completion,occluded_region_rmse,0.08443457246610105,0.00012029804988833395,10
0.0,ensemble_depth_completion,planning_regret,0.5363931214582209,0.007985379341833288,10
0.0,ensemble_depth_completion,probe_cost,0.001705680256428161,0.00035117951659331594,10
0.0,ensemble_depth_completion,probe_damage,0.0043055555555555555,0.0012474789391824226,10
0.0,ensemble_depth_completion,probe_informativeness,0.01110893160685703,0.0003556429582616073,10
0.0,ensemble_depth_completion,robust_utility,-0.17764800491265076,0.027382838759271805,10
0.0,ensemble_depth_completion,task_success,0.4520833333333333,0.012080792978315245,10
0.0,ensemble_depth_completion,useful_probe_precision,0.009788524411750606,0.0004124869347276183,10
0.0,foundation_depth_prior,action_critical_rmse,0.07411582207976901,8.732286164747383e-05,10
0.0,foundation_depth_prior,calibration_error,0.20310751329376536,0.00020037426611106538,10
0.0,foundation_depth_prior,collision_boundary_f1,0.7004563307559095,0.00047708831087444925,10
0.0,foundation_depth_prior,collision_rate,0.28375,0.006887335796652964,10
0.0,foundation_depth_prior,manipulation_failure_rate,0.04847222222222222,0.005526252658893855,10
0.0,foundation_depth_prior,mechanism_utility,0.5307653025335398,0.0002394468191968029,10
0.0,foundation_depth_prior,occluded_region_rmse,0.08723446786785487,0.000140501081258378,10
0.0,foundation_depth_prior,planning_regret,0.6457530067822842,0.00571082511442332,10
0.0,foundation_depth_prior,probe_cost,0.004269328742435683,0.00018356913257494933,10
0.0,foundation_depth_prior,probe_damage,0.0011111111111111111,0.0006790415257478634,10
0.0,foundation_depth_prior,probe_informativeness,0.011519306776840146,0.00020248341822678805,10
0.0,foundation_depth_prior,robust_utility,-0.4842572646826973,0.01953648183346157,10
0.0,foundation_depth_prior,task_success,0.26833333333333337,0.009601382359320794,10
0.0,foundation_depth_prior,useful_probe_precision,0.009985189093243562,0.00031532630671223227,10
0.0,gaussian_splat_uncertainty,action_critical_rmse,0.07542566347075133,0.00014942637284538125,10
0.0,gaussian_splat_uncertainty,calibration_error,0.1319072192244694,0.00031832193904819716,10
0.0,gaussian_splat_uncertainty,collision_boundary_f1,0.7443242990841704,0.0005768285894071328,10
0.0,gaussian_splat_uncertainty,collision_rate,0.21402777777777776,0.0073320539942797955,10
0.0,gaussian_splat_uncertainty,manipulation_failure_rate,0.058750000000000004,0.0062082849309019915,10
0.0,gaussian_splat_uncertainty,mechanism_utility,0.5494338246719134,0.0003964636973487944,10
0.0,gaussian_splat_uncertainty,occluded_region_rmse,0.09275942966954158,0.00011861567977003977,10
0.0,gaussian_splat_uncertainty,planning_regret,0.5551197789579347,0.005586885258934489,10
