method,split,task,groups,mean_action_critical_rmse,ci95_action_critical_rmse,mean_occluded_region_rmse,ci95_occluded_region_rmse,mean_collision_boundary_f1,ci95_collision_boundary_f1,mean_calibration_error,ci95_calibration_error,mean_probe_informativeness,ci95_probe_informativeness,mean_task_success,ci95_task_success,mean_collision_rate,ci95_collision_rate,mean_manipulation_failure_rate,ci95_manipulation_failure_rate,mean_probe_cost,ci95_probe_cost,mean_probe_damage,ci95_probe_damage,mean_planning_regret_to_oracle,ci95_planning_regret_to_oracle,mean_probe_rate,ci95_probe_rate
ensemble_depth_completion,combined_interactive_stress,leaf_occluded_fruit_grasp,7,0.06159,0.00086,0.06323,0.00053,0.62930,0.01148,0.04742,0.00146,0.00000,0.00000,0.16865,0.03585,0.21825,0.04816,0.61310,0.06012,0.00000,0.00000,0.00000,0.00000,0.47115,0.00832,0.00000,0.00000
ensemble_depth_completion,combined_interactive_stress,occluded_bin_grasping,7,0.05720,0.00067,0.05977,0.00085,0.68902,0.01103,0.04768,0.00178,0.00000,0.00000,0.81548,0.03127,0.04762,0.01665,0.13690,0.02813,0.00000,0.00000,0.00000,0.00000,0.35756,0.00699,0.00000,0.00000
ensemble_depth_completion,combined_interactive_stress,shelf_insertion_clearance,7,0.05277,0.00099,0.05713,0.00061,0.63336,0.00943,0.04709,0.00279,0.00000,0.00000,0.72024,0.02750,0.06746,0.01250,0.21230,0.01851,0.00000,0.00000,0.00000,0.00000,0.35637,0.00623,0.00000,0.00000
ensemble_depth_completion,combined_interactive_stress,transparent_container_lift,7,0.06719,0.00159,0.06739,0.00086,0.63274,0.01071,0.04817,0.00189,0.00000,0.00000,0.23016,0.03843,0.19643,0.03536,0.57341,0.03550,0.00000,0.00000,0.00000,0.00000,0.49616,0.01191,0.00000,0.00000
ensemble_depth_completion,missing_depth_shift,leaf_occluded_fruit_grasp,7,0.05794,0.00130,0.06081,0.00053,0.72748,0.00938,0.04776,0.00174,0.00000,0.00000,0.84722,0.03804,0.03968,0.01824,0.11310,0.02256,0.00000,0.00000,0.00000,0.00000,0.34891,0.01067,0.00000,0.00000
ensemble_depth_completion,missing_depth_shift,occluded_bin_grasping,7,0.05216,0.00114,0.05761,0.00066,0.77824,0.00736,0.04607,0.00194,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.28575,0.00812,0.00000,0.00000
ensemble_depth_completion,missing_depth_shift,shelf_insertion_clearance,7,0.04723,0.00113,0.05531,0.00111,0.70979,0.01319,0.04695,0.00273,0.00000,0.00000,0.98611,0.00594,0.00198,0.00389,0.01190,0.00389,0.00000,0.00000,0.00000,0.00000,0.27526,0.00790,0.00000,0.00000
ensemble_depth_completion,missing_depth_shift,transparent_container_lift,7,0.06194,0.00133,0.06442,0.00101,0.72695,0.00757,0.04785,0.00282,0.00000,0.00000,0.93254,0.01384,0.01587,0.01100,0.05159,0.01290,0.00000,0.00000,0.00000,0.00000,0.36258,0.00803,0.00000,0.00000
ensemble_depth_completion,nominal_depth,leaf_occluded_fruit_grasp,7,0.04667,0.00127,0.05194,0.00077,0.79211,0.01113,0.04423,0.00151,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25059,0.00933,0.00000,0.00000
ensemble_depth_completion,nominal_depth,occluded_bin_grasping,7,0.04116,0.00115,0.04937,0.00060,0.82831,0.00725,0.04925,0.00279,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20992,0.00625,0.00000,0.00000
ensemble_depth_completion,nominal_depth,shelf_insertion_clearance,7,0.03498,0.00106,0.04593,0.00051,0.80103,0.01266,0.04700,0.00248,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18067,0.00667,0.00000,0.00000
ensemble_depth_completion,nominal_depth,transparent_container_lift,7,0.05295,0.00137,0.05804,0.00063,0.78306,0.00487,0.04779,0.00076,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.28917,0.00838,0.00000,0.00000
ensemble_depth_completion,occlusion_shift,leaf_occluded_fruit_grasp,7,0.05131,0.00132,0.05343,0.00064,0.75388,0.01465,0.04695,0.00391,0.00000,0.00000,0.92063,0.02638,0.01984,0.00810,0.05952,0.01944,0.00000,0.00000,0.00000,0.00000,0.29581,0.01290,0.00000,0.00000
ensemble_depth_completion,occlusion_shift,occluded_bin_grasping,7,0.04744,0.00130,0.05046,0.00094,0.79110,0.00800,0.04959,0.00300,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25527,0.00823,0.00000,0.00000
ensemble_depth_completion,occlusion_shift,shelf_insertion_clearance,7,0.04120,0.00064,0.04757,0.00049,0.72073,0.01112,0.04708,0.00207,0.00000,0.00000,0.99603,0.00502,0.00000,0.00000,0.00397,0.00502,0.00000,0.00000,0.00000,0.00000,0.23650,0.00361,0.00000,0.00000
ensemble_depth_completion,occlusion_shift,transparent_container_lift,7,0.05601,0.00144,0.05947,0.00042,0.74544,0.01161,0.04814,0.00142,0.00000,0.00000,0.93651,0.02510,0.01587,0.01100,0.04762,0.01768,0.00000,0.00000,0.00000,0.00000,0.32325,0.00982,0.00000,0.00000
ensemble_depth_completion,transparent_specular_shift,leaf_occluded_fruit_grasp,7,0.05613,0.00158,0.05946,0.00058,0.74069,0.01262,0.04804,0.00144,0.00000,0.00000,0.80754,0.03536,0.05754,0.01384,0.13492,0.02638,0.00000,0.00000,0.00000,0.00000,0.33936,0.01453,0.00000,0.00000
ensemble_depth_completion,transparent_specular_shift,occluded_bin_grasping,7,0.05230,0.00105,0.05713,0.00052,0.77730,0.01238,0.04794,0.00161,0.00000,0.00000,0.99405,0.00550,0.00198,0.00389,0.00397,0.00502,0.00000,0.00000,0.00000,0.00000,0.28745,0.00523,0.00000,0.00000
ensemble_depth_completion,transparent_specular_shift,shelf_insertion_clearance,7,0.04711,0.00093,0.05366,0.00058,0.70384,0.01330,0.04738,0.00142,0.00000,0.00000,0.97817,0.01309,0.00595,0.00810,0.01587,0.01100,0.00000,0.00000,0.00000,0.00000,0.27682,0.00627,0.00000,0.00000
ensemble_depth_completion,transparent_specular_shift,transparent_container_lift,7,0.06032,0.00125,0.06298,0.00100,0.72197,0.00532,0.04875,0.00162,0.00000,0.00000,0.91071,0.01665,0.01389,0.00840,0.07540,0.01309,0.00000,0.00000,0.00000,0.00000,0.35736,0.00733,0.00000,0.00000
gaussian_splat_uncertainty,combined_interactive_stress,leaf_occluded_fruit_grasp,7,0.08290,0.00304,0.08491,0.00100,0.56179,0.01806,0.05512,0.00074,0.00000,0.00000,0.02778,0.01572,0.28571,0.03246,0.68651,0.02962,0.00000,0.00000,0.00000,0.00000,0.62490,0.02109,0.00000,0.00000
gaussian_splat_uncertainty,combined_interactive_stress,occluded_bin_grasping,7,0.07646,0.00170,0.07952,0.00111,0.62283,0.01549,0.05366,0.00281,0.00000,0.00000,0.43452,0.04474,0.17064,0.03398,0.39484,0.03507,0.00000,0.00000,0.00000,0.00000,0.52673,0.01290,0.00000,0.00000
gaussian_splat_uncertainty,combined_interactive_stress,shelf_insertion_clearance,7,0.06913,0.00215,0.07433,0.00089,0.57137,0.01453,0.05366,0.00226,0.00000,0.00000,0.34127,0.05375,0.18651,0.05208,0.47222,0.04445,0.00000,0.00000,0.00000,0.00000,0.50827,0.01886,0.00000,0.00000
gaussian_splat_uncertainty,combined_interactive_stress,transparent_container_lift,7,0.08889,0.00140,0.09014,0.00148,0.56032,0.01277,0.05395,0.00271,0.00000,0.00000,0.02778,0.00840,0.28968,0.01824,0.68254,0.01918,0.00000,0.00000,0.00000,0.00000,0.65944,0.01005,0.00000,0.00000
gaussian_splat_uncertainty,missing_depth_shift,leaf_occluded_fruit_grasp,7,0.07275,0.00180,0.07895,0.00164,0.67824,0.00916,0.05374,0.00317,0.00000,0.00000,0.56944,0.03412,0.11706,0.03135,0.31349,0.02647,0.00000,0.00000,0.00000,0.00000,0.47800,0.01136,0.00000,0.00000
gaussian_splat_uncertainty,missing_depth_shift,occluded_bin_grasping,7,0.06611,0.00145,0.07369,0.00104,0.73598,0.00816,0.05575,0.00372,0.00000,0.00000,0.98413,0.01100,0.00794,0.01167,0.00794,0.00810,0.00000,0.00000,0.00000,0.00000,0.37837,0.00753,0.00000,0.00000
gaussian_splat_uncertainty,missing_depth_shift,shelf_insertion_clearance,7,0.05999,0.00197,0.06989,0.00139,0.67019,0.00982,0.05193,0.00197,0.00000,0.00000,0.92857,0.02618,0.01389,0.01029,0.05754,0.02685,0.00000,0.00000,0.00000,0.00000,0.36552,0.01481,0.00000,0.00000
gaussian_splat_uncertainty,missing_depth_shift,transparent_container_lift,7,0.07940,0.00118,0.08444,0.00062,0.66962,0.00845,0.05414,0.00273,0.00000,0.00000,0.70635,0.04176,0.06548,0.01290,0.22817,0.03934,0.00000,0.00000,0.00000,0.00000,0.50392,0.00969,0.00000,0.00000
gaussian_splat_uncertainty,nominal_depth,leaf_occluded_fruit_grasp,7,0.06196,0.00145,0.06798,0.00137,0.74282,0.00834,0.05384,0.00315,0.00000,0.00000,0.94246,0.01619,0.01190,0.00710,0.04564,0.01420,0.00000,0.00000,0.00000,0.00000,0.35788,0.01017,0.00000,0.00000
gaussian_splat_uncertainty,nominal_depth,occluded_bin_grasping,7,0.05212,0.00229,0.06248,0.00083,0.79590,0.00870,0.05599,0.00311,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.28126,0.01300,0.00000,0.00000
gaussian_splat_uncertainty,nominal_depth,shelf_insertion_clearance,7,0.04325,0.00136,0.05883,0.00182,0.76316,0.01210,0.05541,0.00226,0.00000,0.00000,0.99405,0.00550,0.00000,0.00000,0.00595,0.00550,0.00000,0.00000,0.00000,0.00000,0.23849,0.00900,0.00000,0.00000
gaussian_splat_uncertainty,nominal_depth,transparent_container_lift,7,0.06423,0.00112,0.07328,0.00159,0.74090,0.01401,0.05316,0.00205,0.00000,0.00000,0.97024,0.01250,0.00397,0.00502,0.02579,0.01250,0.00000,0.00000,0.00000,0.00000,0.36834,0.00949,0.00000,0.00000
gaussian_splat_uncertainty,occlusion_shift,leaf_occluded_fruit_grasp,7,0.06706,0.00117,0.07067,0.00094,0.69265,0.00832,0.05539,0.00244,0.00000,0.00000,0.64087,0.03167,0.08532,0.01384,0.27381,0.04016,0.00000,0.00000,0.00000,0.00000,0.43422,0.00881,0.00000,0.00000
gaussian_splat_uncertainty,occlusion_shift,occluded_bin_grasping,7,0.06213,0.00193,0.06552,0.00093,0.73726,0.01337,0.05493,0.00271,0.00000,0.00000,0.98611,0.00840,0.00198,0.00389,0.01190,0.00710,0.00000,0.00000,0.00000,0.00000,0.35504,0.01258,0.00000,0.00000
gaussian_splat_uncertainty,occlusion_shift,shelf_insertion_clearance,7,0.05380,0.00103,0.06168,0.00086,0.68058,0.01109,0.05278,0.00326,0.00000,0.00000,0.92262,0.01665,0.01984,0.00810,0.05754,0.01619,0.00000,0.00000,0.00000,0.00000,0.32756,0.00583,0.00000,0.00000
gaussian_splat_uncertainty,occlusion_shift,transparent_container_lift,7,0.07406,0.00116,0.07842,0.00122,0.67672,0.00686,0.05621,0.00274,0.00000,0.00000,0.69841,0.05370,0.07341,0.02953,0.22817,0.05755,0.00000,0.00000,0.00000,0.00000,0.47182,0.01098,0.00000,0.00000
gaussian_splat_uncertainty,transparent_specular_shift,leaf_occluded_fruit_grasp,7,0.07745,0.00220,0.08083,0.00151,0.67525,0.01241,0.05326,0.00253,0.00000,0.00000,0.40278,0.05541,0.12103,0.02033,0.47619,0.04590,0.00000,0.00000,0.00000,0.00000,0.52730,0.01809,0.00000,0.00000
gaussian_splat_uncertainty,transparent_specular_shift,occluded_bin_grasping,7,0.06814,0.00168,0.07538,0.00086,0.72788,0.01199,0.05497,0.00338,0.00000,0.00000,0.95833,0.01680,0.00992,0.00778,0.03175,0.01420,0.00000,0.00000,0.00000,0.00000,0.39534,0.01297,0.00000,0.00000
gaussian_splat_uncertainty,transparent_specular_shift,shelf_insertion_clearance,7,0.05956,0.00092,0.06978,0.00052,0.65953,0.00714,0.05597,0.00199,0.00000,0.00000,0.88294,0.02647,0.02778,0.00840,0.08929,0.02046,0.00000,0.00000,0.00000,0.00000,0.37049,0.00767,0.00000,0.00000
gaussian_splat_uncertainty,transparent_specular_shift,transparent_container_lift,7,0.07757,0.00228,0.08205,0.00185,0.68169,0.00600,0.05278,0.00271,0.00000,0.00000,0.69444,0.04524,0.06349,0.01665,0.24206,0.04236,0.00000,0.00000,0.00000,0.00000,0.49201,0.01733,0.00000,0.00000
learned_depth_completion,combined_interactive_stress,leaf_occluded_fruit_grasp,7,0.07727,0.00100,0.08003,0.00108,0.50965,0.01416,0.05852,0.00407,0.00000,0.00000,0.02381,0.00502,0.33929,0.03703,0.63690,0.03960,0.00000,0.00000,0.00000,0.00000,0.60237,0.00901,0.00000,0.00000
learned_depth_completion,combined_interactive_stress,occluded_bin_grasping,7,0.07276,0.00258,0.07540,0.00193,0.59004,0.00632,0.05961,0.00841,0.00000,0.00000,0.40079,0.03536,0.20635,0.03277,0.39286,0.05658,0.00000,0.00000,0.00000,0.00000,0.51583,0.01905,0.00000,0.00000
learned_depth_completion,combined_interactive_stress,shelf_insertion_clearance,7,0.06589,0.00218,0.07046,0.00147,0.55587,0.01511,0.05907,0.00439,0.00000,0.00000,0.36111,0.04365,0.19841,0.02570,0.44048,0.03012,0.00000,0.00000,0.00000,0.00000,0.48963,0.01525,0.00000,0.00000
learned_depth_completion,combined_interactive_stress,transparent_container_lift,7,0.08460,0.00122,0.08662,0.00133,0.51315,0.01731,0.05707,0.00270,0.00000,0.00000,0.02579,0.01100,0.30357,0.03223,0.67063,0.03837,0.00000,0.00000,0.00000,0.00000,0.64534,0.01082,0.00000,0.00000
learned_depth_completion,missing_depth_shift,leaf_occluded_fruit_grasp,7,0.06814,0.00164,0.07326,0.00078,0.65128,0.00870,0.05714,0.00398,0.00000,0.00000,0.57937,0.03648,0.11310,0.03435,0.30754,0.03634,0.00000,0.00000,0.00000,0.00000,0.45678,0.01347,0.00000,0.00000
learned_depth_completion,missing_depth_shift,occluded_bin_grasping,7,0.06192,0.00202,0.06802,0.00068,0.71548,0.00652,0.05608,0.00368,0.00000,0.00000,0.98413,0.00710,0.00198,0.00389,0.01389,0.00840,0.00000,0.00000,0.00000,0.00000,0.35934,0.01169,0.00000,0.00000
learned_depth_completion,missing_depth_shift,shelf_insertion_clearance,7,0.05558,0.00120,0.06490,0.00079,0.64738,0.01134,0.06261,0.00547,0.00000,0.00000,0.90079,0.01384,0.02778,0.01572,0.07143,0.01918,0.00000,0.00000,0.00000,0.00000,0.34815,0.00830,0.00000,0.00000
learned_depth_completion,missing_depth_shift,transparent_container_lift,7,0.07435,0.00241,0.07869,0.00174,0.65221,0.01519,0.05682,0.00279,0.00000,0.00000,0.72222,0.05444,0.06349,0.02439,0.21429,0.04710,0.00000,0.00000,0.00000,0.00000,0.47684,0.01992,0.00000,0.00000
learned_depth_completion,nominal_depth,leaf_occluded_fruit_grasp,7,0.05551,0.00220,0.06277,0.00059,0.73581,0.00639,0.05642,0.00507,0.00000,0.00000,0.94246,0.02094,0.01984,0.01309,0.03770,0.01851,0.00000,0.00000,0.00000,0.00000,0.32167,0.01414,0.00000,0.00000
learned_depth_completion,nominal_depth,occluded_bin_grasping,7,0.04735,0.00113,0.05748,0.00064,0.78577,0.01016,0.05629,0.00345,0.00000,0.00000,0.99802,0.00389,0.00000,0.00000,0.00198,0.00389,0.00000,0.00000,0.00000,0.00000,0.25627,0.00756,0.00000,0.00000
learned_depth_completion,nominal_depth,shelf_insertion_clearance,7,0.04019,0.00187,0.05546,0.00111,0.75072,0.00651,0.06001,0.00238,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22301,0.01132,0.00000,0.00000
learned_depth_completion,nominal_depth,transparent_container_lift,7,0.06205,0.00224,0.06915,0.00110,0.72574,0.00605,0.05642,0.00494,0.00000,0.00000,0.95833,0.01572,0.00397,0.00778,0.03770,0.01290,0.00000,0.00000,0.00000,0.00000,0.36086,0.01541,0.00000,0.00000
learned_depth_completion,occlusion_shift,leaf_occluded_fruit_grasp,7,0.06487,0.00166,0.06636,0.00096,0.67180,0.01430,0.05517,0.00455,0.00000,0.00000,0.60714,0.06222,0.12698,0.03730,0.26587,0.03682,0.00000,0.00000,0.00000,0.00000,0.42847,0.01706,0.00000,0.00000
learned_depth_completion,occlusion_shift,occluded_bin_grasping,7,0.05735,0.00164,0.06151,0.00083,0.71927,0.00952,0.05784,0.00532,0.00000,0.00000,0.97619,0.01420,0.00595,0.00550,0.01786,0.01145,0.00000,0.00000,0.00000,0.00000,0.33272,0.00946,0.00000,0.00000
learned_depth_completion,occlusion_shift,shelf_insertion_clearance,7,0.05104,0.00201,0.05836,0.00114,0.65095,0.00993,0.05843,0.00252,0.00000,0.00000,0.89683,0.02647,0.02381,0.01420,0.07936,0.01420,0.00000,0.00000,0.00000,0.00000,0.32178,0.01258,0.00000,0.00000
learned_depth_completion,occlusion_shift,transparent_container_lift,7,0.07015,0.00245,0.07492,0.00102,0.65992,0.01035,0.05560,0.00435,0.00000,0.00000,0.61905,0.04236,0.07937,0.02200,0.30159,0.05203,0.00000,0.00000,0.00000,0.00000,0.46324,0.02006,0.00000,0.00000
learned_depth_completion,transparent_specular_shift,leaf_occluded_fruit_grasp,7,0.07280,0.00212,0.07582,0.00104,0.64858,0.01042,0.05659,0.00499,0.00000,0.00000,0.37500,0.05573,0.16071,0.02366,0.46429,0.05105,0.00000,0.00000,0.00000,0.00000,0.50820,0.01948,0.00000,0.00000
learned_depth_completion,transparent_specular_shift,occluded_bin_grasping,7,0.06395,0.00218,0.07097,0.00109,0.71278,0.00872,0.05539,0.00171,0.00000,0.00000,0.95437,0.02033,0.01587,0.00926,0.02976,0.01619,0.00000,0.00000,0.00000,0.00000,0.37485,0.01446,0.00000,0.00000
learned_depth_completion,transparent_specular_shift,shelf_insertion_clearance,7,0.05849,0.00167,0.06687,0.00115,0.62966,0.01458,0.06135,0.00347,0.00000,0.00000,0.81548,0.02200,0.05556,0.01328,0.12897,0.02570,0.00000,0.00000,0.00000,0.00000,0.37877,0.01365,0.00000,0.00000
learned_depth_completion,transparent_specular_shift,transparent_container_lift,7,0.07629,0.00234,0.07872,0.00131,0.64638,0.01223,0.05860,0.00415,0.00000,0.00000,0.58135,0.03960,0.08135,0.02875,0.33730,0.04188,0.00000,0.00000,0.00000,0.00000,0.50682,0.02026,0.00000,0.00000
oracle_depth_completion,combined_interactive_stress,leaf_occluded_fruit_grasp,7,0.00581,0.00014,0.00595,0.00009,0.92994,0.00201,0.06789,0.00305,0.15984,0.00068,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00885,0.00029,0.00000,0.00000,0.00189,0.00040,0.97222,0.01188
oracle_depth_completion,combined_interactive_stress,occluded_bin_grasping,7,0.00570,0.00010,0.00595,0.00005,0.93003,0.00536,0.06698,0.00183,0.14126,0.00079,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00776,0.00022,0.00000,0.00000,0.00134,0.00044,0.94246,0.02618
oracle_depth_completion,combined_interactive_stress,shelf_insertion_clearance,7,0.00557,0.00010,0.00595,0.00008,0.92778,0.00740,0.06883,0.00258,0.12350,0.00108,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00812,0.00039,0.00000,0.00000,0.00168,0.00032,0.95635,0.02480
oracle_depth_completion,combined_interactive_stress,transparent_container_lift,7,0.00573,0.00011,0.00596,0.00005,0.93502,0.00454,0.06933,0.00176,0.17112,0.00083,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00762,0.00026,0.00000,0.00000,0.00138,0.00054,0.95437,0.01754
oracle_depth_completion,missing_depth_shift,leaf_occluded_fruit_grasp,7,0.00552,0.00007,0.00586,0.00006,0.93722,0.00385,0.06971,0.00214,0.13344,0.00051,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00744,0.00024,0.00000,0.00000,0.00066,0.00045,0.94246,0.01824
oracle_depth_completion,missing_depth_shift,occluded_bin_grasping,7,0.00547,0.00015,0.00592,0.00008,0.92966,0.00520,0.06844,0.00306,0.11085,0.00085,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00655,0.00037,0.00000,0.00000,0.00114,0.00036,0.92063,0.02500
oracle_depth_completion,missing_depth_shift,shelf_insertion_clearance,7,0.00532,0.00010,0.00588,0.00013,0.93536,0.00344,0.06684,0.00215,0.09291,0.00088,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00732,0.00028,0.00000,0.00000,0.00153,0.00045,0.93651,0.01957
