method,split,task,groups,mean_action_critical_rmse,ci95_action_critical_rmse,mean_occluded_region_rmse,ci95_occluded_region_rmse,mean_collision_boundary_f1,ci95_collision_boundary_f1,mean_calibration_error,ci95_calibration_error,mean_probe_informativeness,ci95_probe_informativeness,mean_task_success,ci95_task_success,mean_collision_rate,ci95_collision_rate,mean_manipulation_failure_rate,ci95_manipulation_failure_rate,mean_probe_cost,ci95_probe_cost,mean_probe_damage,ci95_probe_damage,mean_planning_regret_to_oracle,ci95_planning_regret_to_oracle,mean_probe_rate,ci95_probe_rate
active_view_selection,combined_interactive_stress,leaf_occluded_fruit_grasp,7,0.03700,0.00153,0.03793,0.00065,0.77261,0.00619,0.04590,0.00311,0.00000,0.00000,0.82143,0.03277,0.04564,0.00979,0.13294,0.03457,0.00740,0.00000,0.00000,0.00000,0.22052,0.01306,0.00000,0.00000
active_view_selection,combined_interactive_stress,occluded_bin_grasping,7,0.03770,0.00085,0.03894,0.00050,0.80330,0.00911,0.04752,0.00364,0.00000,0.00000,0.99008,0.00979,0.00000,0.00000,0.00992,0.00979,0.00685,0.00000,0.00000,0.00000,0.19796,0.00677,0.00000,0.00000
active_view_selection,combined_interactive_stress,shelf_insertion_clearance,7,0.04122,0.00092,0.04483,0.00052,0.72456,0.00929,0.04418,0.00537,0.00000,0.00000,0.91667,0.01029,0.01984,0.00810,0.06349,0.01438,0.00569,0.00000,0.00000,0.00000,0.24552,0.00795,0.00000,0.00000
active_view_selection,combined_interactive_stress,transparent_container_lift,7,0.05762,0.00223,0.06011,0.00129,0.68509,0.00980,0.04906,0.00167,0.00000,0.00000,0.45238,0.05966,0.12500,0.03757,0.42262,0.05846,0.00535,0.00000,0.00000,0.00000,0.40409,0.02053,0.00000,0.00000
active_view_selection,missing_depth_shift,leaf_occluded_fruit_grasp,7,0.03883,0.00093,0.04192,0.00041,0.81400,0.00948,0.04524,0.00181,0.00000,0.00000,0.99008,0.00979,0.00397,0.00502,0.00595,0.00550,0.00624,0.00000,0.00000,0.00000,0.20168,0.00657,0.00000,0.00000
active_view_selection,missing_depth_shift,occluded_bin_grasping,7,0.03991,0.00088,0.04366,0.00031,0.83067,0.00558,0.04831,0.00175,0.00000,0.00000,0.99802,0.00389,0.00000,0.00000,0.00198,0.00389,0.00541,0.00000,0.00000,0.00000,0.20302,0.00622,0.00000,0.00000
active_view_selection,missing_depth_shift,shelf_insertion_clearance,7,0.04191,0.00198,0.04865,0.00076,0.74756,0.00938,0.04592,0.00457,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00425,0.00000,0.00000,0.00000,0.23416,0.01213,0.00000,0.00000
active_view_selection,missing_depth_shift,transparent_container_lift,7,0.06137,0.00220,0.06516,0.00086,0.73750,0.00831,0.04692,0.00073,0.00000,0.00000,0.93849,0.03889,0.00794,0.00810,0.05357,0.03682,0.00392,0.00000,0.00000,0.00000,0.35692,0.01696,0.00000,0.00000
active_view_selection,nominal_depth,leaf_occluded_fruit_grasp,7,0.03505,0.00096,0.03803,0.00092,0.83479,0.00920,0.04572,0.00315,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00591,0.00000,0.00000,0.00000,0.17368,0.00676,0.00000,0.00000
active_view_selection,nominal_depth,occluded_bin_grasping,7,0.03321,0.00069,0.03759,0.00069,0.86177,0.00775,0.04603,0.00328,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00508,0.00000,0.00000,0.00000,0.15643,0.00363,0.00000,0.00000
active_view_selection,nominal_depth,shelf_insertion_clearance,7,0.03207,0.00154,0.04218,0.00081,0.80401,0.00554,0.04671,0.00310,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00392,0.00000,0.00000,0.00000,0.16348,0.00923,0.00000,0.00000
active_view_selection,nominal_depth,transparent_container_lift,7,0.05339,0.00104,0.06007,0.00107,0.78381,0.01001,0.04575,0.00258,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00359,0.00000,0.00000,0.00000,0.29196,0.00571,0.00000,0.00000
active_view_selection,occlusion_shift,leaf_occluded_fruit_grasp,7,0.03131,0.00119,0.03208,0.00061,0.84293,0.00767,0.04630,0.00356,0.00000,0.00000,0.99603,0.00502,0.00000,0.00000,0.00397,0.00502,0.00740,0.00000,0.00000,0.00000,0.15067,0.00808,0.00000,0.00000
active_view_selection,occlusion_shift,occluded_bin_grasping,7,0.03089,0.00108,0.03156,0.00060,0.85772,0.00765,0.04639,0.00360,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00701,0.00000,0.00000,0.00000,0.14417,0.00702,0.00000,0.00000
active_view_selection,occlusion_shift,shelf_insertion_clearance,7,0.03092,0.00095,0.03421,0.00073,0.79517,0.01116,0.04646,0.00316,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00585,0.00000,0.00000,0.00000,0.15920,0.00629,0.00000,0.00000
active_view_selection,occlusion_shift,transparent_container_lift,7,0.04717,0.00080,0.05037,0.00051,0.77892,0.01087,0.04673,0.00374,0.00000,0.00000,0.97619,0.01145,0.00794,0.00550,0.01587,0.01100,0.00552,0.00000,0.00000,0.00000,0.25995,0.00755,0.00000,0.00000
active_view_selection,transparent_specular_shift,leaf_occluded_fruit_grasp,7,0.04430,0.00152,0.04669,0.00071,0.79650,0.01302,0.04548,0.00340,0.00000,0.00000,0.96230,0.01145,0.00397,0.00502,0.03373,0.01004,0.00613,0.00000,0.00000,0.00000,0.24117,0.00819,0.00000,0.00000
active_view_selection,transparent_specular_shift,occluded_bin_grasping,7,0.04471,0.00165,0.04878,0.00104,0.81281,0.01032,0.04503,0.00165,0.00000,0.00000,0.99603,0.00778,0.00000,0.00000,0.00397,0.00778,0.00530,0.00000,0.00000,0.00000,0.23542,0.01030,0.00000,0.00000
active_view_selection,transparent_specular_shift,shelf_insertion_clearance,7,0.04640,0.00153,0.05305,0.00084,0.73187,0.00916,0.04575,0.00209,0.00000,0.00000,0.96230,0.01851,0.00198,0.00389,0.03571,0.01865,0.00414,0.00000,0.00000,0.00000,0.26877,0.01032,0.00000,0.00000
active_view_selection,transparent_specular_shift,transparent_container_lift,7,0.06281,0.00093,0.06616,0.00103,0.72981,0.01214,0.04776,0.00269,0.00000,0.00000,0.90476,0.01619,0.01786,0.00778,0.07738,0.01865,0.00381,0.00000,0.00000,0.00000,0.37089,0.00924,0.00000,0.00000
