method_a,method_b,split,metric,mean_diff_a_minus_b,ci95_diff,paired_groups
proposed_action_critical_interactive_depth,active_view_selection,combined_interactive_stress,task_success,-0.28075,0.07128,28
proposed_action_critical_interactive_depth,active_view_selection,combined_interactive_stress,action_critical_rmse,0.01259,0.00203,28
proposed_action_critical_interactive_depth,active_view_selection,combined_interactive_stress,collision_rate,0.07540,0.02471,28
proposed_action_critical_interactive_depth,active_view_selection,combined_interactive_stress,planning_regret_to_oracle,0.17412,0.02408,28
proposed_action_critical_interactive_depth,active_view_selection,combined_interactive_stress,probe_damage,0.15278,0.02223,28
