split,method,metric,mean,ci95,n
combined_interactive_stress,action_critical_interactive_depth_v4,action_critical_rmse,0.05990585414251082,0.002133873426882881,10
combined_interactive_stress,action_critical_interactive_depth_v4,calibration_error,0.13620890047747033,0.0013096056387105893,10
combined_interactive_stress,action_critical_interactive_depth_v4,collision_boundary_f1,0.7592638695310623,0.004600910678581164,10
combined_interactive_stress,action_critical_interactive_depth_v4,collision_rate,0.23072916666666665,0.01742076002978722,10
combined_interactive_stress,action_critical_interactive_depth_v4,manipulation_failure_rate,0.03802083333333333,0.006096577572856089,10
combined_interactive_stress,action_critical_interactive_depth_v4,mechanism_utility,0.6158918554049085,0.006482858419358869,10
combined_interactive_stress,action_critical_interactive_depth_v4,occluded_region_rmse,0.07341053034201714,0.002408256196393748,10
combined_interactive_stress,action_critical_interactive_depth_v4,planning_regret,0.5335763926953371,0.01809378538493975,10
combined_interactive_stress,action_critical_interactive_depth_v4,probe_cost,0.04672078768916788,0.0045733845519820016,10
combined_interactive_stress,action_critical_interactive_depth_v4,probe_damage,0.08958333333333333,0.01977128092417676,10
combined_interactive_stress,action_critical_interactive_depth_v4,probe_informativeness,0.2013995460221288,0.01896732801636924,10
combined_interactive_stress,action_critical_interactive_depth_v4,robust_utility,-0.26145147112632616,0.057167236483224006,10
combined_interactive_stress,action_critical_interactive_depth_v4,task_success,0.453125,0.031112630171247817,10
combined_interactive_stress,action_critical_interactive_depth_v4,useful_probe_precision,0.24837644799168976,0.023222909168291582,10
combined_interactive_stress,active_view_selection,action_critical_rmse,0.036835375026587236,0.00017323725896152396,10
combined_interactive_stress,active_view_selection,calibration_error,0.1294250998901975,0.0004484800792133337,10
combined_interactive_stress,active_view_selection,collision_boundary_f1,0.814014161037622,0.0012890845461259836,10
combined_interactive_stress,active_view_selection,collision_rate,0.17760416666666665,0.010701181590031986,10
combined_interactive_stress,active_view_selection,manipulation_failure_rate,0.0005208333333333333,0.0010208333333333332,10
combined_interactive_stress,active_view_selection,mechanism_utility,0.5886606221656149,0.0009180421548404435,10
combined_interactive_stress,active_view_selection,occluded_region_rmse,0.04252449597061638,0.0003196257729132534,10
combined_interactive_stress,active_view_selection,planning_regret,0.3261829657244268,0.00970595035869893,10
combined_interactive_stress,active_view_selection,probe_cost,0.01435420911167162,0.0006874939841940644,10
combined_interactive_stress,active_view_selection,probe_damage,0.0026041666666666665,0.0031372061000510517,10
combined_interactive_stress,active_view_selection,probe_informativeness,0.03426363028025931,0.0012392616090648062,10
combined_interactive_stress,active_view_selection,robust_utility,0.3432338367884202,0.03303505731118769,10
combined_interactive_stress,active_view_selection,task_success,0.7578124999999999,0.01605087067606852,10
combined_interactive_stress,active_view_selection,useful_probe_precision,0.023018267517710318,0.000880394281896979,10
combined_interactive_stress,diffusion_depth_policy,action_critical_rmse,0.07768510320152655,0.0002337226227805017,10
combined_interactive_stress,diffusion_depth_policy,calibration_error,0.19378918915488497,0.00041367557762057237,10
combined_interactive_stress,diffusion_depth_policy,collision_boundary_f1,0.7013600109698175,0.0008316294105418191,10
combined_interactive_stress,diffusion_depth_policy,collision_rate,0.26041666666666663,0.01906770446055481,10
combined_interactive_stress,diffusion_depth_policy,manipulation_failure_rate,0.05260416666666666,0.01173341726151065,10
combined_interactive_stress,diffusion_depth_policy,mechanism_utility,0.5293455040841633,0.0005012683358117364,10
combined_interactive_stress,diffusion_depth_policy,occluded_region_rmse,0.09434283188702271,0.0003578699377303367,10
combined_interactive_stress,diffusion_depth_policy,planning_regret,0.5765021494482458,0.011934259586746881,10
combined_interactive_stress,diffusion_depth_policy,probe_cost,0.010123796061586495,0.0005817303863768505,10
combined_interactive_stress,diffusion_depth_policy,probe_damage,0.0020833333333333333,0.0016670138527274405,10
combined_interactive_stress,diffusion_depth_policy,probe_informativeness,0.011433400899465191,0.0006292387938809723,10
combined_interactive_stress,diffusion_depth_policy,robust_utility,-0.3071950418279821,0.042432745303010874,10
combined_interactive_stress,diffusion_depth_policy,task_success,0.3807291666666667,0.020385450673243266,10
combined_interactive_stress,diffusion_depth_policy,useful_probe_precision,0.00960343501798055,0.0005788759654184716,10
combined_interactive_stress,ensemble_depth_completion,action_critical_rmse,0.08386141036415193,0.00016453818700986564,10
combined_interactive_stress,ensemble_depth_completion,calibration_error,0.154238754723392,0.0005132870736758694,10
combined_interactive_stress,ensemble_depth_completion,collision_boundary_f1,0.6970920952816448,0.0006010235178030245,10
combined_interactive_stress,ensemble_depth_completion,collision_rate,0.26458333333333334,0.017000272328973415,10
combined_interactive_stress,ensemble_depth_completion,manipulation_failure_rate,0.0765625,0.014279508717493155,10
combined_interactive_stress,ensemble_depth_completion,mechanism_utility,0.5308818760206889,0.0006305220205355734,10
combined_interactive_stress,ensemble_depth_completion,occluded_region_rmse,0.10038394660402553,0.0003273263531516722,10
combined_interactive_stress,ensemble_depth_completion,planning_regret,0.6310784230835825,0.013264524416031395,10
combined_interactive_stress,ensemble_depth_completion,probe_cost,0.00184070349606157,0.0007623434103122018,10
combined_interactive_stress,ensemble_depth_completion,probe_damage,0.003645833333333333,0.0026576544036071258,10
combined_interactive_stress,ensemble_depth_completion,probe_informativeness,0.011404474482231655,0.0005683442873962192,10
combined_interactive_stress,ensemble_depth_completion,robust_utility,-0.4415514229736579,0.04362933370561442,10
combined_interactive_stress,ensemble_depth_completion,task_success,0.2947916666666667,0.02206301913319219,10
combined_interactive_stress,ensemble_depth_completion,useful_probe_precision,0.010269003309505871,0.0007293222478956425,10
combined_interactive_stress,foundation_depth_prior,action_critical_rmse,0.08859260290095597,0.00025576314199668264,10
combined_interactive_stress,foundation_depth_prior,calibration_error,0.21133283308649187,0.0006743611471251355,10
combined_interactive_stress,foundation_depth_prior,collision_boundary_f1,0.6534470338193579,0.00089882438085618,10
combined_interactive_stress,foundation_depth_prior,collision_rate,0.303125,0.019476258695595976,10
combined_interactive_stress,foundation_depth_prior,manipulation_failure_rate,0.1125,0.017954288665427028,10
combined_interactive_stress,foundation_depth_prior,mechanism_utility,0.5113934783351397,0.0003450726763692902,10
combined_interactive_stress,foundation_depth_prior,occluded_region_rmse,0.10423564388900927,0.0003027182888603771,10
combined_interactive_stress,foundation_depth_prior,planning_regret,0.7374602711572531,0.008935558512682053,10
combined_interactive_stress,foundation_depth_prior,probe_cost,0.004030193542058703,0.0006573696110027252,10
combined_interactive_stress,foundation_depth_prior,probe_damage,0.0005208333333333333,0.0010208333333333332,10
combined_interactive_stress,foundation_depth_prior,probe_informativeness,0.010627762839286431,0.0007859870850164757,10
combined_interactive_stress,foundation_depth_prior,robust_utility,-0.7415172583301458,0.03517463046791249,10
combined_interactive_stress,foundation_depth_prior,task_success,0.12031249999999998,0.015251886204440743,10
combined_interactive_stress,foundation_depth_prior,useful_probe_precision,0.01038978873867636,0.0006751828114144089,10
combined_interactive_stress,gaussian_splat_uncertainty,action_critical_rmse,0.09016074162002005,0.00025813698157371923,10
combined_interactive_stress,gaussian_splat_uncertainty,calibration_error,0.1410726465062422,0.00030660146791217096,10
combined_interactive_stress,gaussian_splat_uncertainty,collision_boundary_f1,0.7006719966062762,0.0009904393784063539,10
combined_interactive_stress,gaussian_splat_uncertainty,collision_rate,0.24062500000000003,0.020234371350516856,10
combined_interactive_stress,gaussian_splat_uncertainty,manipulation_failure_rate,0.11875,0.01535403317947904,10
combined_interactive_stress,gaussian_splat_uncertainty,mechanism_utility,0.5303486160833081,0.0005675735586077281,10
combined_interactive_stress,gaussian_splat_uncertainty,occluded_region_rmse,0.11110601495485813,0.00028272631135597563,10
combined_interactive_stress,gaussian_splat_uncertainty,planning_regret,0.6696102181722481,0.0107620004421197,10
combined_interactive_stress,gaussian_splat_uncertainty,probe_cost,0.001751949992739198,0.0006810208192799429,10
combined_interactive_stress,gaussian_splat_uncertainty,probe_damage,0.005208333333333334,0.0015217684846873566,10
combined_interactive_stress,gaussian_splat_uncertainty,probe_informativeness,0.011410344564212211,0.0009980321655999587,10
combined_interactive_stress,gaussian_splat_uncertainty,robust_utility,-0.5241261595973681,0.0370544742532849,10
combined_interactive_stress,gaussian_splat_uncertainty,task_success,0.2302083333333333,0.01887238351581223,10
combined_interactive_stress,gaussian_splat_uncertainty,useful_probe_precision,0.009678607734909606,0.0006861330248936953,10
combined_interactive_stress,learned_depth_completion,action_critical_rmse,0.09864327054454851,0.0003072596913960919,10
combined_interactive_stress,learned_depth_completion,calibration_error,0.22762745295276363,0.0005598922562528461,10
combined_interactive_stress,learned_depth_completion,collision_boundary_f1,0.6184054072364735,0.0011821100984160528,10
combined_interactive_stress,learned_depth_completion,collision_rate,0.33593750000000006,0.020317176574663358,10
combined_interactive_stress,learned_depth_completion,manipulation_failure_rate,0.15572916666666664,0.00931267606926106,10
combined_interactive_stress,learned_depth_completion,mechanism_utility,0.4960725330260948,0.0006410706124618283,10
combined_interactive_stress,learned_depth_completion,occluded_region_rmse,0.11672467192996354,0.00028023471999930017,10
combined_interactive_stress,learned_depth_completion,planning_regret,0.8148833188559358,0.007091778891850215,10
combined_interactive_stress,learned_depth_completion,probe_cost,0.0015619359690043184,0.0008486446420734945,10
combined_interactive_stress,learned_depth_completion,probe_damage,0.0026041666666666665,0.002743407150462701,10
combined_interactive_stress,learned_depth_completion,probe_informativeness,0.011039603817906722,0.0011427678365089503,10
combined_interactive_stress,learned_depth_completion,robust_utility,-0.9458576516922351,0.032083614429541725,10
combined_interactive_stress,learned_depth_completion,task_success,0.0234375,0.0074938407064702554,10
combined_interactive_stress,learned_depth_completion,useful_probe_precision,0.010103167786042273,0.0005857813885868225,10
combined_interactive_stress,next_best_view_planner,action_critical_rmse,0.04012501849342105,0.00022266859611390051,10
combined_interactive_stress,next_best_view_planner,calibration_error,0.1353760153449498,0.000443752112419501,10
combined_interactive_stress,next_best_view_planner,collision_boundary_f1,0.8106756012845286,0.0008551990995837797,10
combined_interactive_stress,next_best_view_planner,collision_rate,0.17760416666666667,0.018541236210151073,10
combined_interactive_stress,next_best_view_planner,manipulation_failure_rate,0.0,0.0,10
combined_interactive_stress,next_best_view_planner,mechanism_utility,0.5856005757427584,0.00039513381098017325,10
combined_interactive_stress,next_best_view_planner,occluded_region_rmse,0.04843378940421203,0.00045146195971123627,10
combined_interactive_stress,next_best_view_planner,planning_regret,0.3478726940619275,0.010850367165553553,10
combined_interactive_stress,next_best_view_planner,probe_cost,0.013109328403268347,0.0005461118824959666,10
combined_interactive_stress,next_best_view_planner,probe_damage,0.0010416666666666667,0.0013611111111111111,10
combined_interactive_stress,next_best_view_planner,probe_informativeness,0.03056124906844998,0.001071432046607958,10
combined_interactive_stress,next_best_view_planner,robust_utility,0.303821759888363,0.0405382244393062,10
combined_interactive_stress,next_best_view_planner,task_success,0.7296875,0.01592049140831082,10
combined_interactive_stress,next_best_view_planner,useful_probe_precision,0.02196988775146735,0.0005426471156436712,10
combined_interactive_stress,oracle_depth_completion,action_critical_rmse,0.01976936511788794,0.0002912779371201639,10
combined_interactive_stress,oracle_depth_completion,calibration_error,0.06913684716331275,0.0005235065339881264,10
combined_interactive_stress,oracle_depth_completion,collision_boundary_f1,0.902909106669702,0.0010127023293987486,10
combined_interactive_stress,oracle_depth_completion,collision_rate,0.09947916666666665,0.014710865968606206,10
combined_interactive_stress,oracle_depth_completion,manipulation_failure_rate,0.0,0.0,10
combined_interactive_stress,oracle_depth_completion,mechanism_utility,0.6473022952787404,0.003187150292553878,10
combined_interactive_stress,oracle_depth_completion,occluded_region_rmse,0.02560389999135005,0.0002591988535973862,10
combined_interactive_stress,oracle_depth_completion,planning_regret,0.14464693733945344,0.004208315224146332,10
combined_interactive_stress,oracle_depth_completion,probe_cost,0.017764634612150387,0.0009471799522702405,10
combined_interactive_stress,oracle_depth_completion,probe_damage,0.007291666666666666,0.004357681772697356,10
combined_interactive_stress,oracle_depth_completion,probe_informativeness,0.08003586136284843,0.006705014841334818,10
combined_interactive_stress,oracle_depth_completion,robust_utility,0.7772506293635884,0.021724555376792118,10
combined_interactive_stress,oracle_depth_completion,task_success,0.9947916666666666,0.0021521056298368056,10
combined_interactive_stress,oracle_depth_completion,useful_probe_precision,0.09342981481321627,0.009232803111878464,10
combined_interactive_stress,raw_depth_policy,action_critical_rmse,0.13299658065241232,0.00027564934338834,10
combined_interactive_stress,raw_depth_policy,calibration_error,0.2908835854888047,0.00044666263547641196,10
combined_interactive_stress,raw_depth_policy,collision_boundary_f1,0.4980340069605965,0.000991615011291321,10
combined_interactive_stress,raw_depth_policy,collision_rate,0.4494791666666667,0.023577591607352233,10
combined_interactive_stress,raw_depth_policy,manipulation_failure_rate,0.35468749999999993,0.018352931706886892,10
combined_interactive_stress,raw_depth_policy,mechanism_utility,0.44273502379091223,0.0003315858113687211,10
combined_interactive_stress,raw_depth_policy,occluded_region_rmse,0.15926785959402306,0.00036361687102486506,10
combined_interactive_stress,raw_depth_policy,planning_regret,0.9100502776473588,0.004229115324253358,10
combined_interactive_stress,raw_depth_policy,probe_cost,0.0019346219223249687,0.0009882930931001631,10
combined_interactive_stress,raw_depth_policy,probe_damage,0.0031249999999999997,0.002257147426769647,10
combined_interactive_stress,raw_depth_policy,probe_informativeness,0.01088231745021391,0.0005751266685373847,10
combined_interactive_stress,raw_depth_policy,robust_utility,-1.2549923701385126,0.0301994802975865,10
combined_interactive_stress,raw_depth_policy,task_success,0.0,0.0,10
combined_interactive_stress,raw_depth_policy,useful_probe_precision,0.009856498883091586,0.0004846052295614163,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,action_critical_rmse,0.05724853127758287,0.0007267526170292359,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,calibration_error,0.12090367479615008,0.000695454740174942,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,collision_boundary_f1,0.7775094829800561,0.0018151247570923714,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,collision_rate,0.2130208333333333,0.016908073727539923,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,manipulation_failure_rate,0.018229166666666664,0.0053261896964057484,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,mechanism_utility,0.6250938818448297,0.0038421825212942213,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,occluded_region_rmse,0.06955271421573037,0.0008178111817059396,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,planning_regret,0.45336325908382175,0.01721695315965555,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,probe_cost,0.03567193508196359,0.0018146657826323602,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,probe_damage,0.07135416666666666,0.01491410754221868,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,probe_informativeness,0.1869986600968086,0.009317758054793126,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,robust_utility,-0.03171868096311561,0.059499368259542114,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,task_success,0.5822916666666667,0.026567828986144817,10
combined_interactive_stress,risk_aware_action_critical_depth_probe_v5,useful_probe_precision,0.23964398472637277,0.011973329985545476,10
combined_interactive_stress,robust_clearance_mpc,action_critical_rmse,0.09072591877845008,0.0003375790761032596,10
combined_interactive_stress,robust_clearance_mpc,calibration_error,0.1577213205521538,0.0005927391145709456,10
combined_interactive_stress,robust_clearance_mpc,collision_boundary_f1,0.7279839895926254,0.00106600100214871,10
combined_interactive_stress,robust_clearance_mpc,collision_rate,0.11822916666666668,0.020305775240109694,10
combined_interactive_stress,robust_clearance_mpc,manipulation_failure_rate,0.07812499999999999,0.007608842423436784,10
combined_interactive_stress,robust_clearance_mpc,mechanism_utility,0.5372808038386756,0.0006585028795712121,10
combined_interactive_stress,robust_clearance_mpc,occluded_region_rmse,0.11504052479783475,0.00032868447514071734,10
combined_interactive_stress,robust_clearance_mpc,planning_regret,0.4288949383246526,0.01650252197480815,10
combined_interactive_stress,robust_clearance_mpc,probe_cost,0.001282710546442122,0.0007662789512066618,10
combined_interactive_stress,robust_clearance_mpc,probe_damage,0.0010416666666666667,0.0013611111111111111,10
combined_interactive_stress,robust_clearance_mpc,probe_informativeness,0.011546399608456395,0.0010494778072175383,10
combined_interactive_stress,robust_clearance_mpc,robust_utility,0.18834249989773408,0.05611631323162088,10
combined_interactive_stress,robust_clearance_mpc,task_success,0.6291666666666668,0.025318130184699313,10
combined_interactive_stress,robust_clearance_mpc,useful_probe_precision,0.010364747093232604,0.0006901928873861879,10
combined_interactive_stress,uncertainty_guided_probe,action_critical_rmse,0.06067541825305219,0.0013549306312558174,10
combined_interactive_stress,uncertainty_guided_probe,calibration_error,0.13757024595091236,0.0009679856684395198,10
combined_interactive_stress,uncertainty_guided_probe,collision_boundary_f1,0.7525034684991209,0.0030357557928953724,10
combined_interactive_stress,uncertainty_guided_probe,collision_rate,0.23697916666666669,0.029674485451403457,10
combined_interactive_stress,uncertainty_guided_probe,manipulation_failure_rate,0.03802083333333334,0.0054973557406164724,10
combined_interactive_stress,uncertainty_guided_probe,mechanism_utility,0.5637750637027767,0.0030621768755379466,10
combined_interactive_stress,uncertainty_guided_probe,occluded_region_rmse,0.0731837784844151,0.0014515773196845084,10
combined_interactive_stress,uncertainty_guided_probe,planning_regret,0.5955618496045394,0.014801037802085611,10
combined_interactive_stress,uncertainty_guided_probe,probe_cost,0.07389037138468885,0.004997078735814189,10
combined_interactive_stress,uncertainty_guided_probe,probe_damage,0.14479166666666668,0.012713826985016673,10
combined_interactive_stress,uncertainty_guided_probe,probe_informativeness,0.15312087839710778,0.009525271761986963,10
combined_interactive_stress,uncertainty_guided_probe,robust_utility,-0.4582902295476627,0.05849838105419945,10
combined_interactive_stress,uncertainty_guided_probe,task_success,0.3630208333333333,0.020076388888888894,10
combined_interactive_stress,uncertainty_guided_probe,useful_probe_precision,0.13211391635888023,0.008309441153134573,10
combined_interactive_stress,visuotactile_probe,action_critical_rmse,0.06839760481098892,0.0007386640366937525,10
combined_interactive_stress,visuotactile_probe,calibration_error,0.15900270651815082,0.0006495808358870518,10
combined_interactive_stress,visuotactile_probe,collision_boundary_f1,0.732534595808738,0.0014417268126028417,10
combined_interactive_stress,visuotactile_probe,collision_rate,0.23541666666666666,0.017000272328973415,10
combined_interactive_stress,visuotactile_probe,manipulation_failure_rate,0.05781250000000001,0.007047940581133271,10
combined_interactive_stress,visuotactile_probe,mechanism_utility,0.5699488829822288,0.002538979856539404,10
combined_interactive_stress,visuotactile_probe,occluded_region_rmse,0.0830579579759368,0.0009502231124487923,10
combined_interactive_stress,visuotactile_probe,planning_regret,0.58121102907713,0.014504774568699762,10
combined_interactive_stress,visuotactile_probe,probe_cost,0.04522229383047581,0.0024152645181490413,10
combined_interactive_stress,visuotactile_probe,probe_damage,0.08125,0.010454892823487825,10
combined_interactive_stress,visuotactile_probe,probe_informativeness,0.1336612365161866,0.006410436675764787,10
combined_interactive_stress,visuotactile_probe,robust_utility,-0.37107697635006803,0.054136725387389326,10
combined_interactive_stress,visuotactile_probe,task_success,0.3796875,0.023251208194082464,10
combined_interactive_stress,visuotactile_probe,useful_probe_precision,0.13843329911845106,0.006815982471599348,10
low_signal_depth_stress,action_critical_interactive_depth_v4,action_critical_rmse,0.058589880435117744,0.0008215456185078789,10
low_signal_depth_stress,action_critical_interactive_depth_v4,calibration_error,0.1361209592365871,0.0006994019784498889,10
low_signal_depth_stress,action_critical_interactive_depth_v4,collision_boundary_f1,0.7660243303647015,0.002104764903516368,10
low_signal_depth_stress,action_critical_interactive_depth_v4,collision_rate,0.24166666666666664,0.01769444444444445,10
low_signal_depth_stress,action_critical_interactive_depth_v4,manipulation_failure_rate,0.02447916666666667,0.006283632502210763,10
low_signal_depth_stress,action_critical_interactive_depth_v4,mechanism_utility,0.6153006371232963,0.003435821289371476,10
low_signal_depth_stress,action_critical_interactive_depth_v4,occluded_region_rmse,0.0721652838432417,0.0007368782439333868,10
low_signal_depth_stress,action_critical_interactive_depth_v4,planning_regret,0.5254909361850973,0.014029526593817619,10
low_signal_depth_stress,action_critical_interactive_depth_v4,probe_cost,0.04261761375020083,0.0014988189740147222,10
low_signal_depth_stress,action_critical_interactive_depth_v4,probe_damage,0.08854166666666666,0.008194974088344756,10
low_signal_depth_stress,action_critical_interactive_depth_v4,probe_informativeness,0.19538176575793778,0.006601360174325989,10
low_signal_depth_stress,action_critical_interactive_depth_v4,robust_utility,-0.24229074032650333,0.04927120659612163,10
low_signal_depth_stress,action_critical_interactive_depth_v4,task_success,0.4708333333333333,0.021957806234449505,10
low_signal_depth_stress,action_critical_interactive_depth_v4,useful_probe_precision,0.2351226247982367,0.007932791963132988,10
low_signal_depth_stress,active_view_selection,action_critical_rmse,0.03562334085838808,0.0004163859511507155,10
low_signal_depth_stress,active_view_selection,calibration_error,0.12894984325375236,0.0004961342474610736,10
low_signal_depth_stress,active_view_selection,collision_boundary_f1,0.8213196705011931,0.001174611172570646,10
low_signal_depth_stress,active_view_selection,collision_rate,0.16927083333333331,0.017030894279329654,10
low_signal_depth_stress,active_view_selection,manipulation_failure_rate,0.0,0.0,10
low_signal_depth_stress,active_view_selection,mechanism_utility,0.5919020733637733,0.0006841641800890614,10
low_signal_depth_stress,active_view_selection,occluded_region_rmse,0.04167833188502146,0.0001941251950344191,10
low_signal_depth_stress,active_view_selection,planning_regret,0.3158590400541773,0.012034032040115829,10
low_signal_depth_stress,active_view_selection,probe_cost,0.014035120212800244,0.0004986237363887201,10
low_signal_depth_stress,active_view_selection,probe_damage,0.0005208333333333333,0.0010208333333333332,10
low_signal_depth_stress,active_view_selection,probe_informativeness,0.03479909114538786,0.0008365981093852167,10
low_signal_depth_stress,active_view_selection,robust_utility,0.3797350911522126,0.04322852386066552,10
low_signal_depth_stress,active_view_selection,task_success,0.7760416666666667,0.017615743782547065,10
low_signal_depth_stress,active_view_selection,useful_probe_precision,0.02343985208691516,0.0006485622274078394,10
low_signal_depth_stress,diffusion_depth_policy,action_critical_rmse,0.07462716010494029,0.00020234923780758154,10
low_signal_depth_stress,diffusion_depth_policy,calibration_error,0.19189132472880233,0.00046703959765304233,10
low_signal_depth_stress,diffusion_depth_policy,collision_boundary_f1,0.7124994572098229,0.0012209232275427798,10
low_signal_depth_stress,diffusion_depth_policy,collision_rate,0.26458333333333334,0.026349015929102527,10
low_signal_depth_stress,diffusion_depth_policy,manipulation_failure_rate,0.03333333333333333,0.008899418676395541,10
low_signal_depth_stress,diffusion_depth_policy,mechanism_utility,0.5340958259791202,0.0004914192170985301,10
low_signal_depth_stress,diffusion_depth_policy,occluded_region_rmse,0.09033329806984537,0.000323413261741108,10
low_signal_depth_stress,diffusion_depth_policy,planning_regret,0.5437277388022148,0.020693672429223427,10
low_signal_depth_stress,diffusion_depth_policy,probe_cost,0.010936366778164532,0.0009706544748623656,10
low_signal_depth_stress,diffusion_depth_policy,probe_damage,0.0010416666666666667,0.0013611111111111111,10
low_signal_depth_stress,diffusion_depth_policy,probe_informativeness,0.012136600562417305,0.0011682922020735448,10
low_signal_depth_stress,diffusion_depth_policy,robust_utility,-0.21874618409974245,0.07115434579975205,10
low_signal_depth_stress,diffusion_depth_policy,task_success,0.44375,0.03169519000486422,10
low_signal_depth_stress,diffusion_depth_policy,useful_probe_precision,0.009911638792334327,0.000417855618172528,10
