variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.5817,0.4183,0.0066
observed_only_behavior_clone,nominal,1,600,0.5633,0.4367,0.0328
observed_only_behavior_clone,nominal,2,600,0.6083,0.3917,0.0126
observed_only_behavior_clone,nominal,3,600,0.6033,0.3967,0.0125
observed_only_behavior_clone,nominal,4,600,0.6267,0.3733,0.0361
observed_only_behavior_clone,nominal,5,600,0.6150,0.3850,0.0211
observed_only_behavior_clone,nominal,6,600,0.5167,0.4833,0.0598
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4350,0.5650,0.0264
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4017,0.5983,0.0148
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4583,0.5417,0.0423
observed_only_behavior_clone,hidden_mode_shift,3,600,0.3717,0.6283,0.0394
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4300,0.5700,0.0192
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3967,0.6033,0.0176
observed_only_behavior_clone,hidden_mode_shift,6,600,0.3850,0.6150,0.0118
observed_only_behavior_clone,embodiment_shift,0,600,0.4400,0.5600,0.0012
observed_only_behavior_clone,embodiment_shift,1,600,0.4617,0.5383,0.0126
observed_only_behavior_clone,embodiment_shift,2,600,0.4333,0.5667,0.0153
observed_only_behavior_clone,embodiment_shift,3,600,0.4283,0.5717,0.0154
observed_only_behavior_clone,embodiment_shift,4,600,0.4500,0.5500,0.0066
observed_only_behavior_clone,embodiment_shift,5,600,0.4267,0.5733,0.0202
observed_only_behavior_clone,embodiment_shift,6,600,0.4150,0.5850,0.0144
observed_only_behavior_clone,combined_stress,0,600,0.3217,0.6783,0.0019
observed_only_behavior_clone,combined_stress,1,600,0.3100,0.6900,0.0214
observed_only_behavior_clone,combined_stress,2,600,0.3383,0.6617,0.0073
observed_only_behavior_clone,combined_stress,3,600,0.3300,0.6700,0.0039
observed_only_behavior_clone,combined_stress,4,600,0.3433,0.6567,0.0175
observed_only_behavior_clone,combined_stress,5,600,0.3433,0.6567,0.0141
observed_only_behavior_clone,combined_stress,6,600,0.3100,0.6900,0.0018
data_augmentation_wam,nominal,0,600,0.6467,0.3533,0.0163
data_augmentation_wam,nominal,1,600,0.6533,0.3467,0.0166
data_augmentation_wam,nominal,2,600,0.6050,0.3950,0.0296
data_augmentation_wam,nominal,3,600,0.6233,0.3767,0.0088
data_augmentation_wam,nominal,4,600,0.6100,0.3900,0.0274
data_augmentation_wam,nominal,5,600,0.6650,0.3350,0.0361
data_augmentation_wam,nominal,6,600,0.6467,0.3533,0.0020
data_augmentation_wam,hidden_mode_shift,0,600,0.4650,0.5350,0.0151
data_augmentation_wam,hidden_mode_shift,1,600,0.4800,0.5200,0.0064
data_augmentation_wam,hidden_mode_shift,2,600,0.4933,0.5067,0.0090
data_augmentation_wam,hidden_mode_shift,3,600,0.4750,0.5250,0.0068
data_augmentation_wam,hidden_mode_shift,4,600,0.5067,0.4933,0.0196
data_augmentation_wam,hidden_mode_shift,5,600,0.4617,0.5383,0.0169
