case_id,seed,task,split,episode,failure_mode,v5_rmse,v5_success,v5_collision,v5_probe_damage,v5_regret,v5_utility,best_baseline,best_baseline_success,best_baseline_utility
1,0,occluded_bin_grasping,low_signal_depth_stress,2,collision,0.07797588397565443,0.0,1.0,0.0,0.9362144437995816,-1.7304529551557404,active_view_selection,1.0,0.9057694791697057
2,0,occluded_bin_grasping,low_signal_depth_stress,5,collision,0.0077940561021759055,0.0,1.0,0.0,0.8655243222172081,-1.7268037460066923,next_best_view_planner,1.0,0.9016595340617605
3,0,occluded_bin_grasping,low_signal_depth_stress,8,collision,0.07521944499152086,0.0,1.0,0.0,0.9211729410225756,-1.7211272234339967,active_view_selection,1.0,0.9008099263440935
4,0,occluded_bin_grasping,low_signal_depth_stress,11,collision,0.07598589364404479,0.0,1.0,0.0,0.8941510961857,-1.7043736796351339,active_view_selection,1.0,0.8851171418085134
5,0,occluded_bin_grasping,low_signal_depth_stress,17,collision,0.07274320288756375,0.0,1.0,0.0,0.9257032472789276,-1.723936013312935,next_best_view_planner,1.0,0.889260504410967
6,0,occluded_bin_grasping,low_signal_depth_stress,23,collision,0.07382527988952278,0.0,1.0,0.0,0.9299282145755046,-1.7265554930368128,next_best_view_planner,1.0,0.8908585807525131
7,0,occluded_bin_grasping,low_signal_depth_stress,25,collision,0.07033895813692194,0.0,1.0,0.0,0.9564825816684234,-1.7430192006344223,next_best_view_planner,1.0,0.8950987456923241
8,0,occluded_bin_grasping,combined_interactive_stress,0,collision,0.062283869307689095,0.0,1.0,0.0,0.8783052042498475,-1.6945492266349054,ensemble_depth_completion,1.0,0.8694270005861218
9,0,occluded_bin_grasping,combined_interactive_stress,2,closed_loop_loss,0.07466291098372196,0.0,0.0,0.0,0.6900063904792982,-0.4278039620971649,active_view_selection,1.0,0.8934955909094165
10,0,occluded_bin_grasping,combined_interactive_stress,3,collision,0.018394926296408574,0.0,1.0,0.0,0.8833610954175163,-1.7378326558950343,next_best_view_planner,1.0,0.9190145944965452
11,0,occluded_bin_grasping,combined_interactive_stress,6,probe_damage,0.03577919071512797,0.0,0.0,1.0,0.8455194686195905,-1.4841116574491633,action_critical_interactive_depth_v4,1.0,0.9114495440913196
12,0,occluded_bin_grasping,combined_interactive_stress,9,collision,0.0814340437654604,0.0,1.0,0.0,0.8832583248396116,-1.6976201614005593,active_view_selection,1.0,0.9137436682277128
13,0,occluded_bin_grasping,combined_interactive_stress,11,collision,0.08169669851484898,0.0,1.0,0.0,0.9372285599495341,-1.7310817071687112,next_best_view_planner,1.0,0.8947198900029149
14,0,occluded_bin_grasping,combined_interactive_stress,18,collision,0.026583107225088127,0.0,1.0,0.0,0.8280841671196449,-1.704131584315724,next_best_view_planner,1.0,0.8989476713324412
15,0,occluded_bin_grasping,combined_interactive_stress,19,closed_loop_loss,0.030666280488933863,0.0,0.0,0.0,0.6924226701539997,-0.4691270973521099,next_best_view_planner,1.0,0.8970842405275697
16,0,occluded_bin_grasping,combined_interactive_stress,23,closed_loop_loss,0.07897701139763263,0.0,0.0,0.0,0.7005771523341283,-0.43435783444715953,gaussian_splat_uncertainty,1.0,0.8576369147965224
17,0,occluded_bin_grasping,combined_interactive_stress,27,probe_damage,0.015331797406134124,0.0,0.0,1.0,0.8183550255411418,-1.4684019868740967,robust_clearance_mpc,1.0,0.882257198254376
18,0,occluded_bin_grasping,combined_interactive_stress,28,probe_damage,0.03011604504303312,0.0,0.0,1.0,0.8190199484151898,-1.4682788449910684,next_best_view_planner,1.0,0.9115612017853588
19,0,occluded_bin_grasping,combined_interactive_stress,29,probe_damage,0.03353326132746031,0.0,0.0,1.0,0.8180760035333748,-1.4681506349809303,next_best_view_planner,1.0,0.9026511684855422
20,0,occluded_bin_grasping,combined_interactive_stress,31,collision,0.07208181278882399,0.0,1.0,0.0,0.9433202972037394,-1.7348585842663184,active_view_selection,1.0,0.899651070493181
21,0,shelf_insertion_clearance,low_signal_depth_stress,1,closed_loop_loss,0.05668117404078153,0.0,0.0,0.0,0.6571486773760876,-0.4074321799731743,active_view_selection,1.0,0.903768865072226
22,0,shelf_insertion_clearance,low_signal_depth_stress,2,closed_loop_loss,0.054230356451249156,0.0,0.0,0.0,0.6774830876327523,-0.42003951433230646,action_critical_interactive_depth_v4,1.0,0.8806429134887803
23,0,shelf_insertion_clearance,low_signal_depth_stress,3,collision,0.06374338332195395,0.0,1.0,0.0,0.9042247697042214,-1.710619357216617,next_best_view_planner,1.0,0.88512444476784
24,0,shelf_insertion_clearance,low_signal_depth_stress,10,collision,0.06011265161331611,0.0,1.0,0.0,0.9261458708033289,-1.7242104398980638,next_best_view_planner,1.0,0.9157855060405737
