ablation,groups,mean_action_critical_rmse,ci95_action_critical_rmse,mean_occluded_region_rmse,ci95_occluded_region_rmse,mean_collision_boundary_f1,ci95_collision_boundary_f1,mean_calibration_error,ci95_calibration_error,mean_probe_informativeness,ci95_probe_informativeness,mean_task_success,ci95_task_success,mean_collision_rate,ci95_collision_rate,mean_manipulation_failure_rate,ci95_manipulation_failure_rate,mean_probe_cost,ci95_probe_cost,mean_probe_damage,ci95_probe_damage,mean_planning_regret_to_oracle,ci95_planning_regret_to_oracle,mean_probe_rate,ci95_probe_rate
action_only_probe,28,0.05836,0.00246,0.06698,0.00181,0.62019,0.01312,0.06870,0.00279,0.01984,0.00111,0.45734,0.10145,0.14137,0.03013,0.40129,0.07338,0.06564,0.00125,0.14881,0.02547,0.46228,0.02950,1.00000,0.00000
minus_action_criticality,28,0.05907,0.00199,0.06510,0.00196,0.63017,0.01003,0.05319,0.00170,0.03155,0.00153,0.49058,0.09912,0.12748,0.02733,0.38194,0.07684,0.06554,0.00100,0.16121,0.02418,0.46326,0.02631,1.00000,0.00000
minus_physical_probe,28,0.06670,0.00205,0.06926,0.00166,0.60945,0.01219,0.05342,0.00135,0.00000,0.00000,0.39831,0.10430,0.16617,0.02549,0.43552,0.08539,0.00000,0.00000,0.00000,0.00000,0.47886,0.02433,0.00000,0.00000
minus_probe_cost_model,28,0.05235,0.00214,0.06485,0.00175,0.63178,0.01247,0.05262,0.00119,0.02803,0.00122,0.44544,0.10278,0.13294,0.03024,0.42163,0.07574,0.14595,0.00277,0.25893,0.04452,0.46060,0.03075,1.00000,0.00000
minus_uncertainty_calibration,28,0.05610,0.00202,0.06622,0.00167,0.60513,0.01273,0.08055,0.00273,0.02838,0.00123,0.48115,0.08754,0.13343,0.02854,0.38542,0.06428,0.06605,0.00103,0.14038,0.02560,0.44834,0.02412,1.00000,0.00000
proposed_action_critical_interactive_depth,28,0.05554,0.00200,0.06597,0.00169,0.62774,0.01295,0.05304,0.00113,0.02840,0.00123,0.51885,0.09687,0.12054,0.02927,0.36062,0.07140,0.06610,0.00128,0.14633,0.02328,0.43689,0.02523,1.00000,0.00000
uncertainty_only_probe,28,0.05852,0.00205,0.06367,0.00198,0.63526,0.01074,0.05198,0.00116,0.03117,0.00152,0.45585,0.10377,0.13244,0.03040,0.41171,0.07741,0.12271,0.00225,0.21825,0.03613,0.48219,0.03002,1.00000,0.00000
