method,split,task,seed,episodes,action_critical_rmse,occluded_region_rmse,collision_boundary_f1,calibration_error,probe_informativeness,task_success,collision_rate,manipulation_failure_rate,probe_cost,probe_damage,planning_regret_to_oracle,probe_rate
raw_depth_policy,occlusion_shift,occluded_bin_grasping,1,72,0.110799,0.118276,0.555659,0.133929,0.000000,0.152778,0.333333,0.513889,0.000000,0.000000,0.761361,0.000000
raw_depth_policy,occlusion_shift,occluded_bin_grasping,2,72,0.102508,0.116687,0.520247,0.128671,0.000000,0.250000,0.236111,0.513889,0.000000,0.000000,0.717080,0.000000
raw_depth_policy,occlusion_shift,occluded_bin_grasping,3,72,0.113418,0.119012,0.533919,0.129167,0.000000,0.250000,0.361111,0.388889,0.000000,0.000000,0.750489,0.000000
raw_depth_policy,occlusion_shift,occluded_bin_grasping,4,72,0.108989,0.119110,0.553301,0.124702,0.000000,0.305556,0.180556,0.513889,0.000000,0.000000,0.726613,0.000000
raw_depth_policy,occlusion_shift,occluded_bin_grasping,5,72,0.109596,0.113481,0.579965,0.118155,0.000000,0.291667,0.291667,0.416667,0.000000,0.000000,0.725108,0.000000
raw_depth_policy,occlusion_shift,occluded_bin_grasping,6,72,0.104644,0.116496,0.546852,0.124107,0.000000,0.250000,0.236111,0.513889,0.000000,0.000000,0.721101,0.000000
raw_depth_policy,occlusion_shift,shelf_insertion_clearance,0,72,0.094206,0.106584,0.497092,0.110218,0.000000,0.166667,0.388889,0.444444,0.000000,0.000000,0.671821,0.000000
raw_depth_policy,occlusion_shift,shelf_insertion_clearance,1,72,0.090743,0.108768,0.511327,0.126786,0.000000,0.236111,0.305556,0.458333,0.000000,0.000000,0.646767,0.000000
raw_depth_policy,occlusion_shift,shelf_insertion_clearance,2,72,0.094981,0.111116,0.486702,0.120139,0.000000,0.111111,0.472222,0.416667,0.000000,0.000000,0.683125,0.000000
raw_depth_policy,occlusion_shift,shelf_insertion_clearance,3,72,0.092342,0.108626,0.517484,0.121627,0.000000,0.236111,0.263889,0.500000,0.000000,0.000000,0.654217,0.000000
raw_depth_policy,occlusion_shift,shelf_insertion_clearance,4,72,0.098882,0.112310,0.512962,0.123115,0.000000,0.125000,0.388889,0.486111,0.000000,0.000000,0.695454,0.000000
raw_depth_policy,occlusion_shift,shelf_insertion_clearance,5,72,0.096574,0.114326,0.494471,0.126984,0.000000,0.152778,0.277778,0.569444,0.000000,0.000000,0.686660,0.000000
raw_depth_policy,occlusion_shift,shelf_insertion_clearance,6,72,0.092158,0.112396,0.516836,0.122321,0.000000,0.138889,0.388889,0.472222,0.000000,0.000000,0.666896,0.000000
raw_depth_policy,occlusion_shift,transparent_container_lift,0,72,0.132390,0.144536,0.460355,0.135317,0.000000,0.013889,0.388889,0.597222,0.000000,0.000000,0.865844,0.000000
raw_depth_policy,occlusion_shift,transparent_container_lift,1,72,0.140990,0.149669,0.444506,0.125694,0.000000,0.000000,0.527778,0.472222,0.000000,0.000000,0.889465,0.000000
raw_depth_policy,occlusion_shift,transparent_container_lift,2,72,0.142661,0.150928,0.478250,0.128472,0.000000,0.000000,0.416667,0.583333,0.000000,0.000000,0.896033,0.000000
raw_depth_policy,occlusion_shift,transparent_container_lift,3,72,0.138308,0.150105,0.487790,0.115873,0.000000,0.027778,0.375000,0.597222,0.000000,0.000000,0.878534,0.000000
raw_depth_policy,occlusion_shift,transparent_container_lift,4,72,0.132878,0.143043,0.501867,0.119643,0.000000,0.013889,0.402778,0.583333,0.000000,0.000000,0.869070,0.000000
raw_depth_policy,occlusion_shift,transparent_container_lift,5,72,0.139888,0.146281,0.460977,0.137897,0.000000,0.013889,0.500000,0.486111,0.000000,0.000000,0.902717,0.000000
raw_depth_policy,occlusion_shift,transparent_container_lift,6,72,0.140535,0.147693,0.468197,0.126190,0.000000,0.000000,0.416667,0.583333,0.000000,0.000000,0.892199,0.000000
raw_depth_policy,occlusion_shift,leaf_occluded_fruit_grasp,0,72,0.125107,0.130577,0.478009,0.109226,0.000000,0.000000,0.444444,0.555556,0.000000,0.000000,0.844569,0.000000
raw_depth_policy,occlusion_shift,leaf_occluded_fruit_grasp,1,72,0.126450,0.128106,0.475880,0.122817,0.000000,0.013889,0.388889,0.597222,0.000000,0.000000,0.842447,0.000000
raw_depth_policy,occlusion_shift,leaf_occluded_fruit_grasp,2,72,0.119762,0.122282,0.482648,0.105060,0.000000,0.000000,0.388889,0.611111,0.000000,0.000000,0.829985,0.000000
raw_depth_policy,occlusion_shift,leaf_occluded_fruit_grasp,3,72,0.119743,0.129409,0.454378,0.134325,0.000000,0.000000,0.444444,0.555556,0.000000,0.000000,0.826425,0.000000
raw_depth_policy,occlusion_shift,leaf_occluded_fruit_grasp,4,72,0.120400,0.124588,0.485460,0.108929,0.000000,0.013889,0.402778,0.583333,0.000000,0.000000,0.824548,0.000000
raw_depth_policy,occlusion_shift,leaf_occluded_fruit_grasp,5,72,0.119752,0.129126,0.471561,0.131052,0.000000,0.000000,0.486111,0.513889,0.000000,0.000000,0.824105,0.000000
raw_depth_policy,occlusion_shift,leaf_occluded_fruit_grasp,6,72,0.124520,0.129274,0.469112,0.123115,0.000000,0.013889,0.402778,0.583333,0.000000,0.000000,0.839835,0.000000
raw_depth_policy,transparent_specular_shift,occluded_bin_grasping,0,72,0.131808,0.144203,0.532201,0.144643,0.000000,0.083333,0.333333,0.583333,0.000000,0.000000,0.847049,0.000000
raw_depth_policy,transparent_specular_shift,occluded_bin_grasping,1,72,0.119600,0.138138,0.542980,0.128175,0.000000,0.180556,0.250000,0.569444,0.000000,0.000000,0.781074,0.000000
raw_depth_policy,transparent_specular_shift,occluded_bin_grasping,2,72,0.131505,0.137751,0.517770,0.126190,0.000000,0.166667,0.250000,0.583333,0.000000,0.000000,0.820813,0.000000
raw_depth_policy,transparent_specular_shift,occluded_bin_grasping,3,72,0.117491,0.129634,0.535649,0.117262,0.000000,0.208333,0.222222,0.569444,0.000000,0.000000,0.783547,0.000000
raw_depth_policy,transparent_specular_shift,occluded_bin_grasping,4,72,0.128578,0.139967,0.531906,0.135913,0.000000,0.125000,0.361111,0.513889,0.000000,0.000000,0.820522,0.000000
raw_depth_policy,transparent_specular_shift,occluded_bin_grasping,5,72,0.126118,0.135058,0.544404,0.111508,0.000000,0.180556,0.305556,0.513889,0.000000,0.000000,0.809354,0.000000
raw_depth_policy,transparent_specular_shift,occluded_bin_grasping,6,72,0.118212,0.131248,0.512352,0.128373,0.000000,0.125000,0.305556,0.569444,0.000000,0.000000,0.793183,0.000000
raw_depth_policy,transparent_specular_shift,shelf_insertion_clearance,0,72,0.108153,0.122971,0.503824,0.127976,0.000000,0.138889,0.347222,0.513889,0.000000,0.000000,0.747104,0.000000
raw_depth_policy,transparent_specular_shift,shelf_insertion_clearance,1,72,0.112877,0.124095,0.495134,0.120536,0.000000,0.083333,0.347222,0.569444,0.000000,0.000000,0.776188,0.000000
raw_depth_policy,transparent_specular_shift,shelf_insertion_clearance,2,72,0.102807,0.122865,0.480303,0.111607,0.000000,0.041667,0.361111,0.597222,0.000000,0.000000,0.739194,0.000000
raw_depth_policy,transparent_specular_shift,shelf_insertion_clearance,3,72,0.107442,0.121539,0.469523,0.120536,0.000000,0.111111,0.305556,0.583333,0.000000,0.000000,0.748441,0.000000
raw_depth_policy,transparent_specular_shift,shelf_insertion_clearance,4,72,0.103270,0.123269,0.462402,0.134921,0.000000,0.083333,0.361111,0.555556,0.000000,0.000000,0.736886,0.000000
raw_depth_policy,transparent_specular_shift,shelf_insertion_clearance,5,72,0.098902,0.120611,0.499364,0.116567,0.000000,0.111111,0.277778,0.611111,0.000000,0.000000,0.707789,0.000000
raw_depth_policy,transparent_specular_shift,shelf_insertion_clearance,6,72,0.111318,0.129809,0.460993,0.126786,0.000000,0.027778,0.347222,0.625000,0.000000,0.000000,0.788799,0.000000
raw_depth_policy,transparent_specular_shift,transparent_container_lift,0,72,0.139201,0.142699,0.485333,0.123313,0.000000,0.000000,0.416667,0.583333,0.000000,0.000000,0.900736,0.000000
raw_depth_policy,transparent_specular_shift,transparent_container_lift,1,72,0.138567,0.143682,0.441826,0.130655,0.000000,0.027778,0.416667,0.555556,0.000000,0.000000,0.876374,0.000000
raw_depth_policy,transparent_specular_shift,transparent_container_lift,2,72,0.139060,0.138201,0.488314,0.124107,0.000000,0.013889,0.319444,0.666667,0.000000,0.000000,0.897273,0.000000
raw_depth_policy,transparent_specular_shift,transparent_container_lift,3,72,0.134932,0.143412,0.465007,0.123214,0.000000,0.013889,0.444444,0.541667,0.000000,0.000000,0.872958,0.000000
raw_depth_policy,transparent_specular_shift,transparent_container_lift,4,72,0.138392,0.142044,0.454903,0.120437,0.000000,0.027778,0.430556,0.541667,0.000000,0.000000,0.897641,0.000000
raw_depth_policy,transparent_specular_shift,transparent_container_lift,5,72,0.138583,0.150349,0.477501,0.154067,0.000000,0.013889,0.291667,0.694444,0.000000,0.000000,0.893850,0.000000
raw_depth_policy,transparent_specular_shift,transparent_container_lift,6,72,0.139355,0.145789,0.464134,0.132242,0.000000,0.013889,0.305556,0.680556,0.000000,0.000000,0.893791,0.000000
raw_depth_policy,transparent_specular_shift,leaf_occluded_fruit_grasp,0,72,0.140549,0.148516,0.442669,0.132440,0.000000,0.000000,0.416667,0.583333,0.000000,0.000000,0.896958,0.000000
raw_depth_policy,transparent_specular_shift,leaf_occluded_fruit_grasp,1,72,0.146107,0.156550,0.457904,0.137698,0.000000,0.000000,0.430556,0.569444,0.000000,0.000000,0.911962,0.000000
raw_depth_policy,transparent_specular_shift,leaf_occluded_fruit_grasp,2,72,0.139971,0.149618,0.441069,0.134028,0.000000,0.000000,0.430556,0.569444,0.000000,0.000000,0.906607,0.000000
raw_depth_policy,transparent_specular_shift,leaf_occluded_fruit_grasp,3,72,0.136564,0.148315,0.468719,0.137004,0.000000,0.000000,0.416667,0.583333,0.000000,0.000000,0.860162,0.000000
raw_depth_policy,transparent_specular_shift,leaf_occluded_fruit_grasp,4,72,0.140433,0.150726,0.455969,0.122619,0.000000,0.013889,0.527778,0.458333,0.000000,0.000000,0.892447,0.000000
raw_depth_policy,transparent_specular_shift,leaf_occluded_fruit_grasp,5,72,0.151262,0.152290,0.433982,0.129762,0.000000,0.000000,0.513889,0.486111,0.000000,0.000000,0.909405,0.000000
raw_depth_policy,transparent_specular_shift,leaf_occluded_fruit_grasp,6,72,0.140097,0.151176,0.450512,0.119841,0.000000,0.000000,0.444444,0.555556,0.000000,0.000000,0.883441,0.000000
raw_depth_policy,combined_interactive_stress,occluded_bin_grasping,0,72,0.147244,0.149879,0.412135,0.123413,0.000000,0.000000,0.444444,0.555556,0.000000,0.000000,0.911922,0.000000
raw_depth_policy,combined_interactive_stress,occluded_bin_grasping,1,72,0.138496,0.145408,0.394602,0.124802,0.000000,0.000000,0.541667,0.458333,0.000000,0.000000,0.906580,0.000000
raw_depth_policy,combined_interactive_stress,occluded_bin_grasping,2,72,0.144269,0.147267,0.402705,0.130258,0.000000,0.000000,0.472222,0.527778,0.000000,0.000000,0.903004,0.000000
raw_depth_policy,combined_interactive_stress,occluded_bin_grasping,3,72,0.137747,0.146491,0.381425,0.112798,0.000000,0.000000,0.416667,0.583333,0.000000,0.000000,0.899525,0.000000
raw_depth_policy,combined_interactive_stress,occluded_bin_grasping,4,72,0.145487,0.148630,0.437384,0.134425,0.000000,0.000000,0.444444,0.555556,0.000000,0.000000,0.900690,0.000000
raw_depth_policy,combined_interactive_stress,occluded_bin_grasping,5,72,0.142424,0.147732,0.384589,0.107937,0.000000,0.013889,0.458333,0.527778,0.000000,0.000000,0.904680,0.000000
raw_depth_policy,combined_interactive_stress,occluded_bin_grasping,6,72,0.141982,0.145502,0.420825,0.119246,0.000000,0.013889,0.402778,0.583333,0.000000,0.000000,0.897115,0.000000
raw_depth_policy,combined_interactive_stress,shelf_insertion_clearance,0,72,0.127173,0.142110,0.364456,0.126786,0.000000,0.000000,0.486111,0.513889,0.000000,0.000000,0.832623,0.000000
raw_depth_policy,combined_interactive_stress,shelf_insertion_clearance,1,72,0.123522,0.139296,0.413381,0.126290,0.000000,0.013889,0.375000,0.611111,0.000000,0.000000,0.836594,0.000000
raw_depth_policy,combined_interactive_stress,shelf_insertion_clearance,2,72,0.121433,0.134207,0.389403,0.122123,0.000000,0.000000,0.527778,0.472222,0.000000,0.000000,0.838393,0.000000
raw_depth_policy,combined_interactive_stress,shelf_insertion_clearance,3,72,0.126616,0.138803,0.397952,0.121627,0.000000,0.000000,0.444444,0.555556,0.000000,0.000000,0.860660,0.000000
raw_depth_policy,combined_interactive_stress,shelf_insertion_clearance,4,72,0.123897,0.135809,0.386659,0.124802,0.000000,0.000000,0.486111,0.513889,0.000000,0.000000,0.851696,0.000000
raw_depth_policy,combined_interactive_stress,shelf_insertion_clearance,5,72,0.128771,0.132185,0.389857,0.118155,0.000000,0.000000,0.430556,0.569444,0.000000,0.000000,0.856598,0.000000
raw_depth_policy,combined_interactive_stress,shelf_insertion_clearance,6,72,0.119773,0.137027,0.398985,0.133730,0.000000,0.000000,0.444444,0.555556,0.000000,0.000000,0.818191,0.000000
raw_depth_policy,combined_interactive_stress,transparent_container_lift,0,72,0.168469,0.168196,0.328030,0.111905,0.000000,0.000000,0.472222,0.527778,0.000000,0.000000,0.953670,0.000000
raw_depth_policy,combined_interactive_stress,transparent_container_lift,1,72,0.164524,0.168018,0.317240,0.125496,0.000000,0.000000,0.555556,0.444444,0.000000,0.000000,0.962893,0.000000
raw_depth_policy,combined_interactive_stress,transparent_container_lift,2,72,0.161308,0.169949,0.298277,0.119643,0.000000,0.000000,0.444444,0.555556,0.000000,0.000000,0.954551,0.000000
raw_depth_policy,combined_interactive_stress,transparent_container_lift,3,72,0.157656,0.161973,0.366728,0.107341,0.000000,0.000000,0.527778,0.472222,0.000000,0.000000,0.941150,0.000000
raw_depth_policy,combined_interactive_stress,transparent_container_lift,4,72,0.162449,0.167954,0.295758,0.134722,0.000000,0.000000,0.541667,0.458333,0.000000,0.000000,0.956534,0.000000
raw_depth_policy,combined_interactive_stress,transparent_container_lift,5,72,0.157600,0.162602,0.338458,0.115377,0.000000,0.000000,0.458333,0.541667,0.000000,0.000000,0.963940,0.000000
raw_depth_policy,combined_interactive_stress,transparent_container_lift,6,72,0.166450,0.164464,0.345769,0.106944,0.000000,0.000000,0.527778,0.472222,0.000000,0.000000,0.935445,0.000000
raw_depth_policy,combined_interactive_stress,leaf_occluded_fruit_grasp,0,72,0.155290,0.160141,0.333255,0.127282,0.000000,0.000000,0.666667,0.333333,0.000000,0.000000,0.951956,0.000000
raw_depth_policy,combined_interactive_stress,leaf_occluded_fruit_grasp,1,72,0.154886,0.162898,0.261972,0.119246,0.000000,0.000000,0.541667,0.458333,0.000000,0.000000,0.931618,0.000000
raw_depth_policy,combined_interactive_stress,leaf_occluded_fruit_grasp,2,72,0.161401,0.161997,0.348844,0.122222,0.000000,0.000000,0.611111,0.388889,0.000000,0.000000,0.946774,0.000000
raw_depth_policy,combined_interactive_stress,leaf_occluded_fruit_grasp,3,72,0.167292,0.161785,0.325965,0.127083,0.000000,0.000000,0.541667,0.458333,0.000000,0.000000,0.948616,0.000000
raw_depth_policy,combined_interactive_stress,leaf_occluded_fruit_grasp,4,72,0.146091,0.156418,0.370123,0.109821,0.000000,0.000000,0.513889,0.486111,0.000000,0.000000,0.918912,0.000000
raw_depth_policy,combined_interactive_stress,leaf_occluded_fruit_grasp,5,72,0.155350,0.158875,0.328235,0.098710,0.000000,0.000000,0.458333,0.541667,0.000000,0.000000,0.938933,0.000000
raw_depth_policy,combined_interactive_stress,leaf_occluded_fruit_grasp,6,72,0.148153,0.159808,0.314837,0.126488,0.000000,0.000000,0.569444,0.430556,0.000000,0.000000,0.921216,0.000000
learned_depth_completion,nominal_depth,occluded_bin_grasping,0,72,0.048468,0.057727,0.805043,0.056845,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.257903,0.000000
learned_depth_completion,nominal_depth,occluded_bin_grasping,1,72,0.047222,0.057728,0.788000,0.064187,0.000000,0.986111,0.000000,0.013889,0.000000,0.000000,0.256571,0.000000
learned_depth_completion,nominal_depth,occluded_bin_grasping,2,72,0.044549,0.056956,0.795815,0.057937,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.237387,0.000000
learned_depth_completion,nominal_depth,occluded_bin_grasping,3,72,0.047455,0.056783,0.788400,0.052083,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.256022,0.000000
learned_depth_completion,nominal_depth,occluded_bin_grasping,4,72,0.048549,0.059034,0.761459,0.059127,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.268831,0.000000
learned_depth_completion,nominal_depth,occluded_bin_grasping,5,72,0.046319,0.057718,0.779212,0.051190,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.251637,0.000000
learned_depth_completion,nominal_depth,occluded_bin_grasping,6,72,0.048854,0.056447,0.782437,0.052679,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.265570,0.000000
