method,split,task,seed,episodes,action_critical_rmse,occluded_region_rmse,collision_boundary_f1,calibration_error,probe_informativeness,task_success,collision_rate,manipulation_failure_rate,probe_cost,probe_damage,planning_regret_to_oracle,probe_rate
raw_depth_policy,nominal_depth,occluded_bin_grasping,0,72,0.090467,0.114334,0.646358,0.115774,0.000000,0.750000,0.083333,0.166667,0.000000,0.000000,0.560970,0.000000
raw_depth_policy,nominal_depth,occluded_bin_grasping,1,72,0.082147,0.103958,0.669172,0.117857,0.000000,0.819444,0.069444,0.111111,0.000000,0.000000,0.504453,0.000000
raw_depth_policy,nominal_depth,occluded_bin_grasping,2,72,0.084868,0.110013,0.667035,0.132937,0.000000,0.847222,0.083333,0.069444,0.000000,0.000000,0.506825,0.000000
raw_depth_policy,nominal_depth,occluded_bin_grasping,3,72,0.087276,0.107287,0.658217,0.123313,0.000000,0.847222,0.041667,0.111111,0.000000,0.000000,0.528070,0.000000
raw_depth_policy,nominal_depth,occluded_bin_grasping,4,72,0.089110,0.108882,0.657922,0.116071,0.000000,0.736111,0.111111,0.152778,0.000000,0.000000,0.556576,0.000000
raw_depth_policy,nominal_depth,occluded_bin_grasping,5,72,0.086224,0.107254,0.662258,0.112897,0.000000,0.916667,0.055556,0.027778,0.000000,0.000000,0.518655,0.000000
raw_depth_policy,nominal_depth,occluded_bin_grasping,6,72,0.088936,0.105289,0.659035,0.120734,0.000000,0.875000,0.027778,0.097222,0.000000,0.000000,0.541541,0.000000
raw_depth_policy,nominal_depth,shelf_insertion_clearance,0,72,0.074246,0.103746,0.636500,0.131250,0.000000,0.750000,0.083333,0.166667,0.000000,0.000000,0.474607,0.000000
raw_depth_policy,nominal_depth,shelf_insertion_clearance,1,72,0.067255,0.097395,0.669906,0.124306,0.000000,0.791667,0.083333,0.125000,0.000000,0.000000,0.421343,0.000000
raw_depth_policy,nominal_depth,shelf_insertion_clearance,2,72,0.073902,0.105391,0.627595,0.133532,0.000000,0.680556,0.055556,0.263889,0.000000,0.000000,0.483911,0.000000
raw_depth_policy,nominal_depth,shelf_insertion_clearance,3,72,0.070134,0.101096,0.614502,0.115873,0.000000,0.750000,0.125000,0.125000,0.000000,0.000000,0.453540,0.000000
raw_depth_policy,nominal_depth,shelf_insertion_clearance,4,72,0.069918,0.099481,0.661160,0.126190,0.000000,0.736111,0.069444,0.194444,0.000000,0.000000,0.443788,0.000000
raw_depth_policy,nominal_depth,shelf_insertion_clearance,5,72,0.064730,0.094598,0.655785,0.112103,0.000000,0.763889,0.055556,0.180556,0.000000,0.000000,0.415406,0.000000
raw_depth_policy,nominal_depth,shelf_insertion_clearance,6,72,0.068335,0.097720,0.659978,0.104663,0.000000,0.763889,0.069444,0.166667,0.000000,0.000000,0.434478,0.000000
raw_depth_policy,nominal_depth,transparent_container_lift,0,72,0.111055,0.128375,0.559913,0.130556,0.000000,0.263889,0.305556,0.430556,0.000000,0.000000,0.736146,0.000000
raw_depth_policy,nominal_depth,transparent_container_lift,1,72,0.108823,0.123276,0.561445,0.115575,0.000000,0.263889,0.138889,0.597222,0.000000,0.000000,0.741938,0.000000
raw_depth_policy,nominal_depth,transparent_container_lift,2,72,0.113071,0.129239,0.550771,0.115377,0.000000,0.250000,0.319444,0.430556,0.000000,0.000000,0.746579,0.000000
raw_depth_policy,nominal_depth,transparent_container_lift,3,72,0.113339,0.132554,0.548189,0.141369,0.000000,0.180556,0.277778,0.541667,0.000000,0.000000,0.757155,0.000000
raw_depth_policy,nominal_depth,transparent_container_lift,4,72,0.116252,0.129319,0.582188,0.129067,0.000000,0.263889,0.194444,0.541667,0.000000,0.000000,0.757459,0.000000
raw_depth_policy,nominal_depth,transparent_container_lift,5,72,0.108512,0.128543,0.573631,0.127282,0.000000,0.180556,0.319444,0.500000,0.000000,0.000000,0.740006,0.000000
raw_depth_policy,nominal_depth,transparent_container_lift,6,72,0.126275,0.128894,0.549047,0.135516,0.000000,0.111111,0.347222,0.541667,0.000000,0.000000,0.821442,0.000000
raw_depth_policy,nominal_depth,leaf_occluded_fruit_grasp,0,72,0.106434,0.122521,0.579829,0.130456,0.000000,0.125000,0.347222,0.527778,0.000000,0.000000,0.728545,0.000000
raw_depth_policy,nominal_depth,leaf_occluded_fruit_grasp,1,72,0.106087,0.120873,0.583203,0.132639,0.000000,0.111111,0.319444,0.569444,0.000000,0.000000,0.729774,0.000000
raw_depth_policy,nominal_depth,leaf_occluded_fruit_grasp,2,72,0.111464,0.117399,0.565748,0.114087,0.000000,0.097222,0.291667,0.611111,0.000000,0.000000,0.764361,0.000000
raw_depth_policy,nominal_depth,leaf_occluded_fruit_grasp,3,72,0.097848,0.115084,0.566129,0.121329,0.000000,0.180556,0.277778,0.541667,0.000000,0.000000,0.686980,0.000000
raw_depth_policy,nominal_depth,leaf_occluded_fruit_grasp,4,72,0.107570,0.121293,0.567845,0.117857,0.000000,0.111111,0.319444,0.569444,0.000000,0.000000,0.738189,0.000000
raw_depth_policy,nominal_depth,leaf_occluded_fruit_grasp,5,72,0.104288,0.120049,0.546401,0.119147,0.000000,0.138889,0.277778,0.583333,0.000000,0.000000,0.725306,0.000000
raw_depth_policy,nominal_depth,leaf_occluded_fruit_grasp,6,72,0.107994,0.121490,0.556120,0.127480,0.000000,0.152778,0.263889,0.583333,0.000000,0.000000,0.739085,0.000000
raw_depth_policy,missing_depth_shift,occluded_bin_grasping,0,72,0.116756,0.128532,0.550815,0.121032,0.000000,0.263889,0.194444,0.541667,0.000000,0.000000,0.762254,0.000000
raw_depth_policy,missing_depth_shift,occluded_bin_grasping,1,72,0.110830,0.127509,0.539463,0.127679,0.000000,0.291667,0.263889,0.444444,0.000000,0.000000,0.732285,0.000000
raw_depth_policy,missing_depth_shift,occluded_bin_grasping,2,72,0.114778,0.123692,0.558350,0.131746,0.000000,0.277778,0.333333,0.388889,0.000000,0.000000,0.754714,0.000000
raw_depth_policy,missing_depth_shift,occluded_bin_grasping,3,72,0.114566,0.123030,0.535335,0.123214,0.000000,0.347222,0.263889,0.388889,0.000000,0.000000,0.753049,0.000000
raw_depth_policy,missing_depth_shift,occluded_bin_grasping,4,72,0.116572,0.127931,0.532787,0.121825,0.000000,0.361111,0.250000,0.388889,0.000000,0.000000,0.767533,0.000000
raw_depth_policy,missing_depth_shift,occluded_bin_grasping,5,72,0.110360,0.125099,0.574099,0.120437,0.000000,0.277778,0.319444,0.402778,0.000000,0.000000,0.729318,0.000000
raw_depth_policy,missing_depth_shift,occluded_bin_grasping,6,72,0.113821,0.129020,0.557260,0.124107,0.000000,0.347222,0.166667,0.486111,0.000000,0.000000,0.750189,0.000000
raw_depth_policy,missing_depth_shift,shelf_insertion_clearance,0,72,0.094005,0.113802,0.476272,0.127381,0.000000,0.208333,0.333333,0.458333,0.000000,0.000000,0.673937,0.000000
raw_depth_policy,missing_depth_shift,shelf_insertion_clearance,1,72,0.099822,0.117309,0.514045,0.116071,0.000000,0.194444,0.319444,0.486111,0.000000,0.000000,0.701232,0.000000
raw_depth_policy,missing_depth_shift,shelf_insertion_clearance,2,72,0.098782,0.115695,0.521407,0.125992,0.000000,0.180556,0.319444,0.500000,0.000000,0.000000,0.692953,0.000000
raw_depth_policy,missing_depth_shift,shelf_insertion_clearance,3,72,0.096687,0.116242,0.514763,0.127778,0.000000,0.194444,0.236111,0.569444,0.000000,0.000000,0.688749,0.000000
raw_depth_policy,missing_depth_shift,shelf_insertion_clearance,4,72,0.094795,0.114485,0.535841,0.116667,0.000000,0.236111,0.250000,0.513889,0.000000,0.000000,0.663812,0.000000
raw_depth_policy,missing_depth_shift,shelf_insertion_clearance,5,72,0.098108,0.116620,0.509992,0.132937,0.000000,0.250000,0.291667,0.458333,0.000000,0.000000,0.689892,0.000000
raw_depth_policy,missing_depth_shift,shelf_insertion_clearance,6,72,0.099267,0.119707,0.510670,0.127579,0.000000,0.208333,0.305556,0.486111,0.000000,0.000000,0.685961,0.000000
raw_depth_policy,missing_depth_shift,transparent_container_lift,0,72,0.146292,0.147345,0.451462,0.131944,0.000000,0.013889,0.361111,0.625000,0.000000,0.000000,0.914729,0.000000
raw_depth_policy,missing_depth_shift,transparent_container_lift,1,72,0.136635,0.146520,0.492785,0.122123,0.000000,0.055556,0.250000,0.694444,0.000000,0.000000,0.875540,0.000000
raw_depth_policy,missing_depth_shift,transparent_container_lift,2,72,0.133543,0.146933,0.447572,0.130060,0.000000,0.000000,0.361111,0.638889,0.000000,0.000000,0.881915,0.000000
raw_depth_policy,missing_depth_shift,transparent_container_lift,3,72,0.143885,0.150329,0.483746,0.142163,0.000000,0.041667,0.430556,0.527778,0.000000,0.000000,0.885508,0.000000
raw_depth_policy,missing_depth_shift,transparent_container_lift,4,72,0.138193,0.146417,0.447883,0.119643,0.000000,0.000000,0.361111,0.638889,0.000000,0.000000,0.897366,0.000000
raw_depth_policy,missing_depth_shift,transparent_container_lift,5,72,0.133839,0.145199,0.431965,0.130655,0.000000,0.013889,0.472222,0.513889,0.000000,0.000000,0.880848,0.000000
raw_depth_policy,missing_depth_shift,transparent_container_lift,6,72,0.141498,0.144312,0.473120,0.126587,0.000000,0.027778,0.444444,0.527778,0.000000,0.000000,0.888871,0.000000
raw_depth_policy,missing_depth_shift,leaf_occluded_fruit_grasp,0,72,0.137632,0.140771,0.462713,0.124206,0.000000,0.000000,0.472222,0.527778,0.000000,0.000000,0.866707,0.000000
raw_depth_policy,missing_depth_shift,leaf_occluded_fruit_grasp,1,72,0.127844,0.139322,0.477179,0.125794,0.000000,0.013889,0.500000,0.486111,0.000000,0.000000,0.849296,0.000000
raw_depth_policy,missing_depth_shift,leaf_occluded_fruit_grasp,2,72,0.130478,0.141273,0.494492,0.122123,0.000000,0.041667,0.319444,0.638889,0.000000,0.000000,0.853435,0.000000
raw_depth_policy,missing_depth_shift,leaf_occluded_fruit_grasp,3,72,0.134392,0.140055,0.500050,0.121032,0.000000,0.000000,0.472222,0.527778,0.000000,0.000000,0.870663,0.000000
raw_depth_policy,missing_depth_shift,leaf_occluded_fruit_grasp,4,72,0.123795,0.137002,0.484174,0.113194,0.000000,0.027778,0.486111,0.486111,0.000000,0.000000,0.831279,0.000000
raw_depth_policy,missing_depth_shift,leaf_occluded_fruit_grasp,5,72,0.129646,0.140044,0.485907,0.115278,0.000000,0.000000,0.430556,0.569444,0.000000,0.000000,0.849192,0.000000
raw_depth_policy,missing_depth_shift,leaf_occluded_fruit_grasp,6,72,0.135195,0.143311,0.439192,0.122520,0.000000,0.027778,0.472222,0.500000,0.000000,0.000000,0.882632,0.000000
raw_depth_policy,occlusion_shift,occluded_bin_grasping,0,72,0.106319,0.113071,0.549953,0.122222,0.000000,0.263889,0.194444,0.541667,0.000000,0.000000,0.722288,0.000000
