split,budget,method,metric,mean,ci95,n
low_signal_depth_stress,0.0,risk_aware_action_critical_depth_probe_v5,coverage,0.0,0.0,10
low_signal_depth_stress,0.0,risk_aware_action_critical_depth_probe_v5,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.0,risk_aware_action_critical_depth_probe_v5,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.0,risk_aware_action_critical_depth_probe_v5,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.0,risk_aware_action_critical_depth_probe_v5,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.0,risk_aware_action_critical_depth_probe_v5,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.0,active_view_selection,coverage,0.0,0.0,10
low_signal_depth_stress,0.0,active_view_selection,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.0,active_view_selection,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.0,active_view_selection,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.0,active_view_selection,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.0,active_view_selection,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.0,next_best_view_planner,coverage,0.0,0.0,10
low_signal_depth_stress,0.0,next_best_view_planner,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.0,next_best_view_planner,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.0,next_best_view_planner,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.0,next_best_view_planner,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.0,next_best_view_planner,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.0,visuotactile_probe,coverage,0.0,0.0,10
low_signal_depth_stress,0.0,visuotactile_probe,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.0,visuotactile_probe,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.0,visuotactile_probe,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.0,visuotactile_probe,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.0,visuotactile_probe,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.0,uncertainty_guided_probe,coverage,0.0,0.0,10
low_signal_depth_stress,0.0,uncertainty_guided_probe,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.0,uncertainty_guided_probe,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.0,uncertainty_guided_probe,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.0,uncertainty_guided_probe,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.0,uncertainty_guided_probe,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.0,robust_clearance_mpc,coverage,0.0,0.0,10
low_signal_depth_stress,0.0,robust_clearance_mpc,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.0,robust_clearance_mpc,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.0,robust_clearance_mpc,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.0,robust_clearance_mpc,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.0,robust_clearance_mpc,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.05,risk_aware_action_critical_depth_probe_v5,coverage,0.0,0.0,10
low_signal_depth_stress,0.05,risk_aware_action_critical_depth_probe_v5,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.05,risk_aware_action_critical_depth_probe_v5,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.05,risk_aware_action_critical_depth_probe_v5,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.05,risk_aware_action_critical_depth_probe_v5,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.05,risk_aware_action_critical_depth_probe_v5,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.05,active_view_selection,coverage,0.0,0.0,10
low_signal_depth_stress,0.05,active_view_selection,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.05,active_view_selection,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.05,active_view_selection,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.05,active_view_selection,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.05,active_view_selection,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.05,next_best_view_planner,coverage,0.0,0.0,10
low_signal_depth_stress,0.05,next_best_view_planner,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.05,next_best_view_planner,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.05,next_best_view_planner,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.05,next_best_view_planner,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.05,next_best_view_planner,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.05,visuotactile_probe,coverage,0.0,0.0,10
low_signal_depth_stress,0.05,visuotactile_probe,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.05,visuotactile_probe,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.05,visuotactile_probe,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.05,visuotactile_probe,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.05,visuotactile_probe,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.05,uncertainty_guided_probe,coverage,0.0,0.0,10
low_signal_depth_stress,0.05,uncertainty_guided_probe,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.05,uncertainty_guided_probe,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.05,uncertainty_guided_probe,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.05,uncertainty_guided_probe,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.05,uncertainty_guided_probe,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.05,robust_clearance_mpc,coverage,0.0,0.0,10
low_signal_depth_stress,0.05,robust_clearance_mpc,accepted_success,0.0,0.0,10
low_signal_depth_stress,0.05,robust_clearance_mpc,accepted_collision_rate,0.0,0.0,10
low_signal_depth_stress,0.05,robust_clearance_mpc,accepted_probe_damage,0.0,0.0,10
low_signal_depth_stress,0.05,robust_clearance_mpc,accepted_regret,0.0,0.0,10
low_signal_depth_stress,0.05,robust_clearance_mpc,accepted_utility,0.0,0.0,10
low_signal_depth_stress,0.1,risk_aware_action_critical_depth_probe_v5,coverage,0.0,0.0,10
low_signal_depth_stress,0.1,risk_aware_action_critical_depth_probe_v5,accepted_success,0.0,0.0,10
