stress_level,method,task,seed,task_success,action_critical_rmse,collision_rate,probe_damage
0.0,learned_depth_completion,occluded_bin_grasping,0,1.000000,0.048928,0.000000,0.000000
0.0,learned_depth_completion,occluded_bin_grasping,1,1.000000,0.051210,0.000000,0.000000
0.0,learned_depth_completion,occluded_bin_grasping,2,1.000000,0.047776,0.000000,0.000000
0.0,learned_depth_completion,occluded_bin_grasping,3,1.000000,0.046471,0.000000,0.000000
0.0,learned_depth_completion,occluded_bin_grasping,4,1.000000,0.048145,0.000000,0.000000
0.0,learned_depth_completion,occluded_bin_grasping,5,1.000000,0.048872,0.000000,0.000000
0.0,learned_depth_completion,occluded_bin_grasping,6,1.000000,0.046579,0.000000,0.000000
0.0,learned_depth_completion,shelf_insertion_clearance,0,1.000000,0.042284,0.000000,0.000000
0.0,learned_depth_completion,shelf_insertion_clearance,1,1.000000,0.036632,0.000000,0.000000
0.0,learned_depth_completion,shelf_insertion_clearance,2,1.000000,0.045043,0.000000,0.000000
0.0,learned_depth_completion,shelf_insertion_clearance,3,1.000000,0.042198,0.000000,0.000000
0.0,learned_depth_completion,shelf_insertion_clearance,4,1.000000,0.040628,0.000000,0.000000
0.0,learned_depth_completion,shelf_insertion_clearance,5,1.000000,0.036841,0.000000,0.000000
0.0,learned_depth_completion,shelf_insertion_clearance,6,1.000000,0.043559,0.000000,0.000000
0.0,learned_depth_completion,transparent_container_lift,0,0.977273,0.063243,0.022727,0.000000
0.0,learned_depth_completion,transparent_container_lift,1,0.863636,0.067086,0.045455,0.000000
0.0,learned_depth_completion,transparent_container_lift,2,0.954545,0.065074,0.000000,0.000000
0.0,learned_depth_completion,transparent_container_lift,3,0.954545,0.059928,0.045455,0.000000
0.0,learned_depth_completion,transparent_container_lift,4,1.000000,0.055926,0.000000,0.000000
0.0,learned_depth_completion,transparent_container_lift,5,0.954545,0.063988,0.000000,0.000000
0.0,learned_depth_completion,transparent_container_lift,6,0.977273,0.060406,0.022727,0.000000
0.0,learned_depth_completion,leaf_occluded_fruit_grasp,0,0.954545,0.058472,0.000000,0.000000
